System_Ref,FIS_Provider_Name,Upload_to_FIDy,Level_1_Description,Level_2_Description,Level_3_Description
885,Julians Primary School - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
890,Telferscot Primary School - After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
890,Telferscot Primary School - After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
893,Christ Church Primary Sw9 - After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
893,Christ Church Primary Sw9 - After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
894,Durand Academy - After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
894,Durand Academy - After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
897,Hitherfield Primary School - After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
897,Hitherfield Primary School - After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
901,Rosendale Primary School After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
901,Rosendale Primary School After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
903,Stockwell Primary School - After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
903,Stockwell Primary School - After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
908,Vauxhall City Farm,FSD,Families,Activities and things to do,City farms
908,Vauxhall City Farm,FSD,SEND Local Offer,Activities and things to do,City farms
908,Vauxhall City Farm,FSD,Young People,Activities and things to do,City farms
919,Macaulay Church Of England Primary School - Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
919,Macaulay Church Of England Primary School - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
