System_Ref,FIS_Provider_Name,Upload_to_FIDy,Level_1_Description,Level_2_Description,Level_3_Description
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),FSD,Families,Support and advice services,
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),FSD,Families,"Training, employment and education for adults",Learning English
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),FSD,SEND Local Offer,Support and advice services,
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),FSD,Young People,Activities and things to do,Youth clubs
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),FSD,Young People,Support and advice services,
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),FSD,Young People,Getting into employment or training,Learning English
6805,Afewee Training Centre,FSD,Families,Activities and things to do,Sports
6805,Afewee Training Centre,FSD,SEND Local Offer,Activities and things to do,Sports
6805,Afewee Training Centre,FSD,Young People,Activities and things to do,Sports
6894,The Oasis Inclusion Project,FSD,Families,Activities and things to do,Adventure play
6894,The Oasis Inclusion Project,FSD,SEND Local Offer,Activities and things to do,Adventure play
6894,The Oasis Inclusion Project,FSD,Young People,Activities and things to do,Adventure play
6961,Streatham Leisure Centre Holiday Play Scheme,FSD,Families,Activities and things to do,Holiday activities
6961,Streatham Leisure Centre Holiday Play Scheme,FSD,Young People,Activities and things to do,Holiday activities
6962,YPM Childcare Provider at Granton,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
6962,YPM Childcare Provider at Granton,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7068,Coin Street Young Leaders,FSD,Families,Activities and things to do,Youth clubs
7068,Coin Street Young Leaders,FSD,SEND Local Offer,Activities and things to do,Youth clubs
7068,Coin Street Young Leaders,FSD,Young People,Activities and things to do,Youth clubs
7075,YPM Childcare Provider at Granton,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
7075,YPM Childcare Provider at Granton,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7103,Pacca Out Of School Project,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
7103,Pacca Out Of School Project,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7110,Pacca Out Of School Project,FSD,Families,Early Learning and childcare,Childcare during the holidays
7110,Pacca Out Of School Project,FSD,SEND Local Offer,Early Learning and childcare,Childcare during the holidays
7120,Young People Matter At The Old  Laundry - After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
7120,Young People Matter At The Old  Laundry - After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7171,Brixton Recreation Centre,FSD,Families,Activities and things to do,Leisure Centres
7171,Brixton Recreation Centre,FSD,SEND Local Offer,Activities and things to do,Leisure Centres
7171,Brixton Recreation Centre,FSD,Young People,Activities and things to do,Leisure Centres
7200,Spiral Skills Cic,FSD,Young People,Activities and things to do,
7200,Spiral Skills Cic,FSD,Young People,"Education, Schools and Learning",Volunteering and work experience
7200,Spiral Skills Cic,FSD,Young People,Getting into employment or training,Volunteering and work experience
7200,Spiral Skills Cic,FSD,Young People,Getting into employment or training,Training
7240,Brixton Recreation Centre Play Scheme,FSD,Families,Early Learning and childcare,Childcare during the holidays
7240,Brixton Recreation Centre Play Scheme,FSD,SEND Local Offer,Early Learning and childcare,Childcare during the holidays
7242,Super Camps at Dunraven School,FSD,Families,Activities and things to do,Holiday activities
7242,Super Camps at Dunraven School,FSD,Families,Early Learning and childcare,Childcare during the holidays
7242,Super Camps at Dunraven School,FSD,SEND Local Offer,Activities and things to do,Holiday activities
7242,Super Camps at Dunraven School,FSD,SEND Local Offer,Early Learning and childcare,Childcare during the holidays
7244,Walnut Tree Walk Primary School - Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
7244,Walnut Tree Walk Primary School - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7245,Walnut Tree Walk Primary School - After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
7245,Walnut Tree Walk Primary School - After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7252,Dewdrops Play Scheme/nursery - After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
7252,Dewdrops Play Scheme/nursery - After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7253,Dewdrops Play Scheme/nursery - Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
7253,Dewdrops Play Scheme/nursery - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7254,Dewdrops Play Scheme/Nursery,FSD,Families,Early Learning and childcare,"Nursery (Private, voluntary and independent providers)"
7254,Dewdrops Play Scheme/Nursery,FSD,SEND Local Offer,Early Learning and childcare,"Nursery (Private, voluntary and independent providers)"
7260,Fit For Sport At Paxton Primary School - Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
7260,Fit For Sport At Paxton Primary School - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7261,Fit For Sport At Paxton Primary School - After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
7261,Fit For Sport At Paxton Primary School - After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7263,Glenbrook Primary School - Breakfast Club,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
7263,Glenbrook Primary School - Breakfast Club,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7264,Glenbrook Primary School - After School Club,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
7264,Glenbrook Primary School - After School Club,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7268,St John's (Angell Town) Church Of England P S - Breakfast Club,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
7268,St John's (Angell Town) Church Of England P S - Breakfast Club,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7272,St Andrew's Church Of England Primary School - Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
7272,St Andrew's Church Of England Primary School - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7273,St Andrew's Church Of England Primary School - After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
7273,St Andrew's Church Of England Primary School - After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7279,Pacca Out Of School Project,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
7279,Pacca Out Of School Project,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7280,Sally Kids Care,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
7280,Sally Kids Care,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7281,Sally Kids Care,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
7281,Sally Kids Care,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7282,Sally Kids Care,FSD,Families,Early Learning and childcare,Childcare during the holidays
7282,Sally Kids Care,FSD,SEND Local Offer,Early Learning and childcare,Childcare during the holidays
7286,La Retraite Rc Girls School - After School Club,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
7286,La Retraite Rc Girls School - After School Club,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7315,Alifya Education Limited,FSD,Families,"Education, Schools and Learning",Specialist Resource Base
7315,Alifya Education Limited,FSD,SEND Local Offer,"Education, Schools and Learning",Specialist Resource Base
7327,Saint Gabriel's College - Breakfast Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
7327,Saint Gabriel's College - Breakfast Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7333,South Central Youth Ltd,FSD,Families,Support and advice services,Early help
7333,South Central Youth Ltd,FSD,SEND Local Offer,Support and advice services,Early help
7333,South Central Youth Ltd,FSD,Young People,"Education, Schools and Learning",Support for young people out of education and employment
7333,South Central Youth Ltd,FSD,Young People,Support and advice services,Early help
7333,South Central Youth Ltd,FSD,Young People,Support and advice services,Mentoring
7333,South Central Youth Ltd,FSD,Young People,Health and wellbeing,"Sexual abuse, exploitation and FGM"
7333,South Central Youth Ltd,FSD,Young People,Health and wellbeing,Mental health and well being
7337,Kings College Hospital School,ECD,Families,"Education, Schools and Learning",Special schools
7337,Kings College Hospital School,ECD,SEND Local Offer,"Education, Schools and Learning",Special schools
7351,Women’s Aid (Domestic And Sexual Violence Advice & Counselling Services),FSD,Families,Support and advice services,Services to support around domestic abuse
7351,Women’s Aid (Domestic And Sexual Violence Advice & Counselling Services),FSD,SEND Local Offer,Support and advice services,Services to support around domestic abuse
7352,Papa's Park And Cafe - Open Access Playground,FSD,Families,Activities and things to do,Parks and playgrounds
7352,Papa's Park And Cafe - Open Access Playground,FSD,SEND Local Offer,Activities and things to do,Parks and playgrounds
7352,Papa's Park And Cafe - Open Access Playground,FSD,Young People,Activities and things to do,Parks and playgrounds
7412,Keen London,FSD,Families,Activities and things to do,Sports
7412,Keen London,FSD,SEND Local Offer,Activities and things to do,Sports
7412,Keen London,FSD,Young People,Activities and things to do,Sports
7421,Care Trade - The School House Cafe,FSD,SEND Local Offer,Getting into employment or training,Volunteering and work experience
7427,Oasis Nature Garden,FSD,Families,Activities and things to do,Parks and playgrounds
7427,Oasis Nature Garden,FSD,SEND Local Offer,Activities and things to do,Parks and playgrounds
7433,Coin Street Youth Night,FSD,Families,Activities and things to do,Youth clubs
7433,Coin Street Youth Night,FSD,SEND Local Offer,Activities and things to do,Youth clubs
7433,Coin Street Youth Night,FSD,Young People,Activities and things to do,Youth clubs
7438,Coin Street  Access Fitness - Young People 12 - 21 Year Olds,FSD,SEND Local Offer,Activities and things to do,Youth clubs
7438,Coin Street  Access Fitness - Young People 12 - 21 Year Olds,FSD,SEND Local Offer,Activities and things to do,Sports
7438,Coin Street  Access Fitness - Young People 12 - 21 Year Olds,FSD,Young People,Activities and things to do,Youth clubs
7438,Coin Street  Access Fitness - Young People 12 - 21 Year Olds,FSD,Young People,Activities and things to do,Sports
7440,Coin Street Under 20's Antenatal Group,FSD,Families,Children’s Centres and One O’ Clock Clubs,Support for young parents
7440,Coin Street Under 20's Antenatal Group,FSD,Families,Support and advice services,Support for young parents
7440,Coin Street Under 20's Antenatal Group,FSD,SEND Local Offer,Children’s Centres and One O’ Clock Clubs,Support for young parents
7440,Coin Street Under 20's Antenatal Group,FSD,SEND Local Offer,Support and advice services,Support for young parents
7440,Coin Street Under 20's Antenatal Group,FSD,Young People,Support and advice services,Support for young parents
7527,Fight 4 Change @ Black Prince Hub,FSD,Young People,Activities and things to do,Sports
7553,Florence Nightingale Museum,FSD,Families,Activities and things to do,Museums
7553,Florence Nightingale Museum,FSD,SEND Local Offer,Activities and things to do,Museums
7553,Florence Nightingale Museum,FSD,Young People,Activities and things to do,Museums
7583,Explore Learning Nine Elms,FSD,Families,"Education, Schools and Learning",Out of school tuition
7583,Explore Learning Nine Elms,FSD,SEND Local Offer,"Education, Schools and Learning",Out of school tuition
7587,Dyspraxia Foundation,FSD,Families,Support and advice services,Parenting support – SEND
7587,Dyspraxia Foundation,FSD,SEND Local Offer,Support and advice services,Parenting support
7588,Rainbow Trust Children's Charity,FSD,Families,Health and well being,Complex health needs
7588,Rainbow Trust Children's Charity,FSD,Families,Health and well being,Other specialist health needs
7588,Rainbow Trust Children's Charity,FSD,SEND Local Offer,Health and well being,Complex health needs
7588,Rainbow Trust Children's Charity,FSD,SEND Local Offer,Health and well being,Other specialist health needs
7589,The Communication Trust,FSD,Families,Support and advice services,Parenting support – SEND
7589,The Communication Trust,FSD,SEND Local Offer,Support and advice services,Parenting support
7591,The Children's Trust,FSD,Families,Health and well being,Complex health needs
7591,The Children's Trust,FSD,Families,Health and well being,Other specialist health needs
7591,The Children's Trust,FSD,Families,Support and advice services,Parenting support – SEND
7591,The Children's Trust,FSD,SEND Local Offer,Health and well being,Complex health needs
7591,The Children's Trust,FSD,SEND Local Offer,Health and well being,Other specialist health needs
7591,The Children's Trust,FSD,SEND Local Offer,Support and advice services,Parenting support
7605,YPM After-School Club At St John's Angell Town,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
7605,YPM After-School Club At St John's Angell Town,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
7618,Disability Sports Club (DSC),FSD,Families,Activities and things to do,Sports
7618,Disability Sports Club (DSC),FSD,SEND Local Offer,Activities and things to do,Sports
7618,Disability Sports Club (DSC),FSD,Young People,Activities and things to do,Sports
7620,National Deaf Children Society Helpline,FSD,Families,Health and well being,Hearing and visual impairment
7620,National Deaf Children Society Helpline,FSD,Families,Support and advice services,Parenting support – SEND
7620,National Deaf Children Society Helpline,FSD,SEND Local Offer,Health and well being,Hearing and visual impairment
7620,National Deaf Children Society Helpline,FSD,SEND Local Offer,Support and advice services,Parenting support
7624,Kids London S.E.N.D. Mediation Service,FSD,Families,Support and advice services,Parenting support – SEND
7624,Kids London S.E.N.D. Mediation Service,FSD,SEND Local Offer,Support and advice services,
7624,Kids London S.E.N.D. Mediation Service,FSD,SEND Local Offer,Support and advice services,Parenting support
7624,Kids London S.E.N.D. Mediation Service,FSD,SEND Local Offer,Support and advice services,Early help
7625,Music Therapy Lambeth,ECD,Families,Support and advice services,
7625,Music Therapy Lambeth,ECD,SEND Local Offer,Support and advice services,
7630,Community Speech And Language Therapy,FSD,Families,Health and well being,Speech and language support
7630,Community Speech And Language Therapy,FSD,SEND Local Offer,Health and well being,Speech and language support
7631,Community Occupational Therapy,FSD,Families,Health and well being,General health needs
7631,Community Occupational Therapy,FSD,SEND Local Offer,Health and well being,General health needs
7632,Community Physiotherapy Service,FSD,Families,Health and well being,Complex health needs
7632,Community Physiotherapy Service,FSD,SEND Local Offer,Health and well being,Complex health needs
7633,Community Paediatricians,FSD,Families,Health and well being,General health needs
7633,Community Paediatricians,FSD,SEND Local Offer,Health and well being,General health needs
7635,Lambeth Information And Advice Support Service (IASS) For Children And Young People,FSD,Families,Support and advice services,
7635,Lambeth Information And Advice Support Service (IASS) For Children And Young People,FSD,SEND Local Offer,Support and advice services,"Lambeth Information, Advice and Support (IASS)"
7650,Royal Society For Blind Children,FSD,Families,Activities and things to do,Holiday activities
7650,Royal Society For Blind Children,FSD,Families,Health and well being,Hearing and visual impairment
7650,Royal Society For Blind Children,FSD,Families,Support and advice services,Parenting support – SEND
7650,Royal Society For Blind Children,FSD,SEND Local Offer,Activities and things to do,Holiday activities
7650,Royal Society For Blind Children,FSD,SEND Local Offer,Health and well being,Hearing and visual impairment
7650,Royal Society For Blind Children,FSD,SEND Local Offer,Support and advice services,Parenting support
7650,Royal Society For Blind Children,FSD,Young People,Activities and things to do,Holiday activities
7650,Royal Society For Blind Children,FSD,Young People,Health and wellbeing,Physical health
7656,Disability Register And Liberty Card,FSD,Families,Support and advice services,Parenting support – SEND
7656,Disability Register And Liberty Card,FSD,SEND Local Offer,Support and advice services,"Lambeth Information, Advice and Support (IASS)"
7656,Disability Register And Liberty Card,FSD,Young People,Support and advice services,Support for learning disabilities
7658,Lambeth Information Advice And Support Service (IASS) For Parents Or Carers,FSD,Families,Support and advice services,
7658,Lambeth Information Advice And Support Service (IASS) For Parents Or Carers,FSD,SEND Local Offer,Support and advice services,"Lambeth Information, Advice and Support (IASS)"
7670,Health Visiting Service (North),FSD,Families,Health and well being,Health Visiting Services
7670,Health Visiting Service (North),FSD,SEND Local Offer,Health and well being,Health Visiting Services
7671,Assistive Communication Service,FSD,Families,Health and well being,Complex health needs
7671,Assistive Communication Service,FSD,SEND Local Offer,Health and well being,Complex health needs
7672,Ambitious About Autism,FSD,Families,Support and advice services,Support for young parents
7672,Ambitious About Autism,FSD,Families,Support and advice services,Parenting support – SEND
7672,Ambitious About Autism,FSD,Families,Support and advice services,Parenting support
7672,Ambitious About Autism,FSD,SEND Local Offer,Support and advice services,Support for young parents
7672,Ambitious About Autism,FSD,SEND Local Offer,Support and advice services,Parenting support
7672,Ambitious About Autism,FSD,Young People,Support and advice services,Support for young parents
7672,Ambitious About Autism,FSD,Young People,Support and advice services,Support for learning disabilities
7688,Lifelong Family Links,FSD,Families,Support and advice services,Parenting support – SEND
7688,Lifelong Family Links,FSD,SEND Local Offer,Support and advice services,Parenting support
7688,Lifelong Family Links,FSD,Young People,Support and advice services,Support for learning disabilities
7691,Allen Edwards Speech And Language Resource Base,FSD,Families,"Education, Schools and Learning",Specialist Resource Base
7691,Allen Edwards Speech And Language Resource Base,FSD,SEND Local Offer,"Education, Schools and Learning",Primary Resource Bases
7698,Archbishop Sumner Speech And Language Resource Base,FSD,Families,"Education, Schools and Learning",Specialist Resource Base
7698,Archbishop Sumner Speech And Language Resource Base,FSD,SEND Local Offer,"Education, Schools and Learning",Primary Resource Bases
7699,Crown Lane Resource Base,FSD,Families,"Education, Schools and Learning",Specialist Resource Base
7699,Crown Lane Resource Base,FSD,SEND Local Offer,"Education, Schools and Learning",Primary Resource Bases
7700,Dunraven Slcn Resource Base,FSD,Families,"Education, Schools and Learning",Specialist Resource Base
7700,Dunraven Slcn Resource Base,FSD,SEND Local Offer,"Education, Schools and Learning",Primary Resource Bases
7700,Dunraven Slcn Resource Base,FSD,SEND Local Offer,"Education, Schools and Learning",Secondary Resource Bases
7701,Jubilee Hearing Impairment Resource Base,FSD,Families,"Education, Schools and Learning",Specialist Resource Base
7701,Jubilee Hearing Impairment Resource Base,FSD,SEND Local Offer,"Education, Schools and Learning",Primary Resource Bases
7702,Lark Hall Centre For Autism,FSD,Families,"Education, Schools and Learning",Specialist Resource Base
7702,Lark Hall Centre For Autism,FSD,SEND Local Offer,"Education, Schools and Learning",Primary Resource Bases
7703,City Heights Asd Resource Base,FSD,Families,"Education, Schools and Learning",Sixth forms and colleges
7703,City Heights Asd Resource Base,FSD,Families,"Education, Schools and Learning",Specialist Resource Base
7703,City Heights Asd Resource Base,FSD,SEND Local Offer,"Education, Schools and Learning",Secondary Resource Bases
7704,The Elmgreen School Hearing Impairment Resource Base,FSD,Families,"Education, Schools and Learning",Specialist Resource Base
7704,The Elmgreen School Hearing Impairment Resource Base,FSD,SEND Local Offer,"Education, Schools and Learning",Secondary Resource Bases
7705,London Nautical Asd Resource Base,FSD,Families,"Education, Schools and Learning",Specialist Resource Base
7705,London Nautical Asd Resource Base,FSD,SEND Local Offer,"Education, Schools and Learning",Secondary Resource Bases
7717,The Autism Project,FSD,Families,"Training, employment and education for adults",Courses for adults
7717,The Autism Project,FSD,Families,"Training, employment and education for adults",Finding employment
7717,The Autism Project,FSD,SEND Local Offer,Getting into employment or training,Courses for young adults
7717,The Autism Project,FSD,SEND Local Offer,Getting into employment or training,Get support working with a disability
7718,Care Trade Uk,FSD,Families,"Training, employment and education for adults",
7718,Care Trade Uk,FSD,SEND Local Offer,Getting into employment or training,Get support working with a disability
7718,Care Trade Uk,FSD,Young People,Getting into employment or training,Get support working with a disability
7727,Kids' City At St Leonards,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
7727,Kids' City At St Leonards,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
8832,Play And Learn Cafe,ECD,Families,Activities and things to do,Parent and toddler groups
8832,Play And Learn Cafe,ECD,SEND Local Offer,Activities and things to do,Parent and toddler groups
8855,YPM ASC At Fenstanton Primary School,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
8855,YPM ASC At Fenstanton Primary School,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
8871,Leap Confronting Conflict,ECD,Families,Support and advice services,Early help
8871,Leap Confronting Conflict,ECD,SEND Local Offer,Support and advice services,Early help
8871,Leap Confronting Conflict,ECD,Young People,Support and advice services,Services to support around domestic abuse
8871,Leap Confronting Conflict,ECD,Young People,Support and advice services,Early help
8871,Leap Confronting Conflict,ECD,Young People,Health and wellbeing,Mental health and well being
8872,Brixton People's Kitchen,FSD,Families,Health and well being,Healthy eating
8872,Brixton People's Kitchen,FSD,SEND Local Offer,Health and well being,Healthy eating
8923,Vauxhall City Farm - New Shoots,FSD,Young People,Activities and things to do,
8923,Vauxhall City Farm - New Shoots,FSD,Young People,Support and advice services,
8946,Royal Association Of The Deaf (RAD),ECD,Families,Activities and things to do,
8946,Royal Association Of The Deaf (RAD),ECD,SEND Local Offer,Activities and things to do,
8949,Health Visiting Service (South East),FSD,Families,Health and well being,Health Visiting Services
8949,Health Visiting Service (South East),FSD,SEND Local Offer,Health and well being,Health Visiting Services
8950,Health Visiting Service (South West),FSD,Families,Health and well being,Health Visiting Services
8950,Health Visiting Service (South West),FSD,SEND Local Offer,Health and well being,Health Visiting Services
8954,Fridays @ The Old Library,FSD,Families,Activities and things to do,Youth clubs
8954,Fridays @ The Old Library,FSD,SEND Local Offer,Activities and things to do,Youth clubs
8989,Waterloo Community Counselling,FSD,Families,Health and well being,Mental health
8989,Waterloo Community Counselling,FSD,Young People,Health and wellbeing,Mental health and well being
8994,Young Minds,FSD,Families,Health and well being,Mental health
8994,Young Minds,FSD,Families,Support and advice services,
8994,Young Minds,FSD,SEND Local Offer,Health and well being,Mental health
8994,Young Minds,FSD,SEND Local Offer,Support and advice services,
8994,Young Minds,FSD,Young People,Support and advice services,
8994,Young Minds,FSD,Young People,Health and wellbeing,Mental health and well being
8995,Time To Change,ECD,Families,Health and well being,Mental health
8995,Time To Change,ECD,SEND Local Offer,Health and well being,Mental health
8995,Time To Change,ECD,Young People,Health and wellbeing,Mental health and well being
9023,Children With Complex Needs (Community Nursing Service),FSD,Families,Health and well being,Complex health needs
9023,Children With Complex Needs (Community Nursing Service),FSD,SEND Local Offer,Health and well being,Complex health needs
9024,Continuing Care For Patients With Complex Needs,FSD,Families,Health and well being,Other specialist health needs
9024,Continuing Care For Patients With Complex Needs,FSD,SEND Local Offer,Health and well being,Other specialist health needs
9025,School Nursing Service,FSD,Families,Health and well being,General health needs
9025,School Nursing Service,FSD,SEND Local Offer,Health and well being,General health needs
9288,"Little Bears, St Thomas'",FSD,Families,Activities and things to do,Parent and toddler groups
9301,Fray Bambino After Care,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
9301,Fray Bambino After Care,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
9335,The Cochlear Implanted Children's Support Group (CICS Group),FSD,Families,Health and well being,Hearing and visual impairment
9335,The Cochlear Implanted Children's Support Group (CICS Group),FSD,SEND Local Offer,Health and well being,Hearing and visual impairment
9341,Hill Mead Primary School - Resource Base,FSD,Families,"Education, Schools and Learning",Specialist Resource Base
9341,Hill Mead Primary School - Resource Base,FSD,SEND Local Offer,"Education, Schools and Learning",Primary Resource Bases
9393,The Norwood School Breakfast Club,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
9393,The Norwood School Breakfast Club,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
9395,St Saviour's Church Of England Primary School After School Club,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
9395,St Saviour's Church Of England Primary School After School Club,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
9470,Tree Tops Breakfast And After School Club At Kings Avenue School London,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
9470,Tree Tops Breakfast And After School Club At Kings Avenue School London,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
9471,Multi-Sports Holiday Camp,FSD,Families,Early Learning and childcare,Childcare during the holidays
9471,Multi-Sports Holiday Camp,FSD,SEND Local Offer,Early Learning and childcare,Childcare during the holidays
9476,St Stephen's Church Of England Primary School - Breakfast Club,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
9476,St Stephen's Church Of England Primary School - Breakfast Club,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
9477,St Mark's Church Of England Primary School - Breakfast Club,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
9477,St Mark's Church Of England Primary School - Breakfast Club,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
9480,St John The Divine C Of E Primary School - Breakfast Club,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
9480,St John The Divine C Of E Primary School - Breakfast Club,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
9509,Mosiac LGBT Youth Club,FSD,Families,Activities and things to do,Youth clubs
9509,Mosiac LGBT Youth Club,FSD,Families,Activities and things to do,Sports
9509,Mosiac LGBT Youth Club,FSD,Families,Activities and things to do,Creative Arts and Multimedia
9509,Mosiac LGBT Youth Club,FSD,SEND Local Offer,Activities and things to do,Youth clubs
9509,Mosiac LGBT Youth Club,FSD,SEND Local Offer,Activities and things to do,Sports
9509,Mosiac LGBT Youth Club,FSD,SEND Local Offer,Activities and things to do,Creative Arts and Multimedia
9509,Mosiac LGBT Youth Club,FSD,Young People,Activities and things to do,Youth clubs
9509,Mosiac LGBT Youth Club,FSD,Young People,Activities and things to do,Sports
9509,Mosiac LGBT Youth Club,FSD,Young People,Activities and things to do,Creative Arts and Multimedia
9514,Autism Voice,FSD,Families,Support and advice services,Parenting support – SEND
9514,Autism Voice,FSD,SEND Local Offer,Support and advice services,Parenting support
9538,Parent Champions,FSD,Families,Support and advice services,Parent Champions
9538,Parent Champions,FSD,Families,"Training, employment and education for adults",Parent Champions
9538,Parent Champions,FSD,Families,LEAP (Lambeth Early Action Partnership),
9568,The Gaia Centre,FSD,Families,Support and advice services,Services to support around domestic abuse
9568,The Gaia Centre,FSD,SEND Local Offer,Support and advice services,Services to support around domestic abuse
9568,The Gaia Centre,FSD,Young People,Support and advice services,Services to support around domestic abuse
9569,Support For Young People At The Gaia Centre,FSD,Young People,Support and advice services,
9569,Support For Young People At The Gaia Centre,FSD,Young People,Support and advice services,Services to support around domestic abuse
9741,Julian Cousins Sports,FSD,Families,Activities and things to do,Sports
9741,Julian Cousins Sports,FSD,SEND Local Offer,Activities and things to do,Sports
9741,Julian Cousins Sports,FSD,Young People,Activities and things to do,Sports
9762,Brixton Wings After School & Mid-Term Music Classes,FSD,Families,Activities and things to do,"Music, dance and drama"
9762,Brixton Wings After School & Mid-Term Music Classes,FSD,SEND Local Offer,Activities and things to do,"Music, dance and drama"
9762,Brixton Wings After School & Mid-Term Music Classes,FSD,Young People,Activities and things to do,"Music, dance and drama"
9763,Brixton Wings After School & Mid-Term Rowing Programme,FSD,Families,Activities and things to do,Sports
9763,Brixton Wings After School & Mid-Term Rowing Programme,FSD,Young People,Activities and things to do,Sports
9764,Brixton Wings After School,FSD,Families,Activities and things to do,
9764,Brixton Wings After School,FSD,SEND Local Offer,Activities and things to do,
9764,Brixton Wings After School,FSD,Young People,Activities and things to do,
9843,Kooth,FSD,Young People,Support and advice services,
9843,Kooth,FSD,Young People,Health and wellbeing,Mental health and well being
9844,Centrepoint,FSD,Young People,Support and advice services,
9844,Centrepoint,FSD,Young People,Health and wellbeing,
9845,Young Carers Hub,FSD,Young People,Support and advice services,Young carers
9845,Young Carers Hub,FSD,Young People,Health and wellbeing,
9846,Cruse Bereavement Care In Lambeth,FSD,Families,Health and well being,
9846,Cruse Bereavement Care In Lambeth,FSD,Families,Support and advice services,
9846,Cruse Bereavement Care In Lambeth,FSD,SEND Local Offer,Health and well being,
9846,Cruse Bereavement Care In Lambeth,FSD,SEND Local Offer,Support and advice services,
9846,Cruse Bereavement Care In Lambeth,FSD,Young People,Support and advice services,
9846,Cruse Bereavement Care In Lambeth,FSD,Young People,Health and wellbeing,
9847,South London And Maudsley - Community Camhs,FSD,Young People,Health and wellbeing,Mental health and well being
9848,Safer London - Csa Wellbeing Service,FSD,Young People,Support and advice services,
9848,Safer London - Csa Wellbeing Service,FSD,Young People,Health and wellbeing,
