System_Ref,FIS_Provider_Name,Upload_to_FIDy,Level_2_Description
207,Kids' City At Woodmansterne Primary School - After School Club,FSD,Early Learning and childcare
208,Arty Party,FSD,Activities and things to do
208,Arty Party,FSD,Early Learning and childcare
294,Tulse Hill Adventure Playground,FSD,Activities and things to do
297,Kids' City At St. Marys R.C. Primary School - After School Club,FSD,Early Learning and childcare
301,Slade Gardens Adventure Playground,FSD,Activities and things to do
391,St Peters After School Club,ECD,Early Learning and childcare
476,Springfield Community Flat After School Club,ECD,Early Learning and childcare
508,EKC at Archbishop Sumner School,ECD,Early Learning and childcare
630,Aktiv-Fun,ECD,Early Learning and childcare
697,Rosemead Preparatory School & Nursery,ECD,Early Learning and childcare
698,The Whitehouse Prep & Woodentops Kindergarten,ECD,Early Learning and childcare
699,Broomwood Hall School,ECD,Early Learning and childcare
701,Streatham & Clapham High School Junior Dept,ECD,Early Learning and childcare
702, London Steiner School,ECD,Early Learning and childcare
703,Lollard Street Adventure Playground,FSD,Activities and things to do
706,Willington Road Youth & Community Hub,FSD,Activities and things to do
709,Triangle Adventure Playground,FSD,Activities and things to do
802,Elm Court School,ECD,"Education, Schools and Learning"
803,Lansdowne School,ECD,"Education, Schools and Learning"
804,The Michael Tippett School,FSD,"Education, Schools and Learning"
805,Turney Primary And Secondary Special School,ECD,"Education, Schools and Learning"
874,The Livity School,FSD,"Education, Schools and Learning"
875,Allen Edwards Primary School - After School Club,ECD,Early Learning and childcare
877,Cherubins Day Nursery Ltd,ECD,Early Learning and childcare
882,Holmewood Nursery School - After School Club,ECD,Early Learning and childcare
883,Loughborough Primary School - After School Club,ECD,Early Learning and childcare
885,Julians Primary School - Breakfast Club,ECD,Early Learning and childcare
890,Telferscot Primary School - After School Club,ECD,Early Learning and childcare
893,Christ Church Primary Sw9 - After School Club,ECD,Early Learning and childcare
894,Durand Academy - After School Club,ECD,Early Learning and childcare
897,Hitherfield Primary School - After School Club,ECD,Early Learning and childcare
901,Rosendale Primary School After School Club,ECD,Early Learning and childcare
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,ECD,Early Learning and childcare
903,Stockwell Primary School - After School Club,ECD,Early Learning and childcare
908,Vauxhall City Farm,FSD,Activities and things to do
919,Macaulay Church Of England Primary School - Breakfast Club,ECD,Early Learning and childcare
924,Hurley Pre-School,ECD,Early Learning and childcare
925,Hurley Pre-School,ECD,Early Learning and childcare
941,Magic Roundabout Nurseries Ltd,FSD,Activities and things to do
942,Loughborough Primary School - Breakfast Club,ECD,Early Learning and childcare
952,Whippersnappers Inclusive After School Club,FSD,Early Learning and childcare
961,Streatham Wells Primary School - Breakfast Club,ECD,Early Learning and childcare
972,Hitherfield Primary School - Breakfast Club,ECD,Early Learning and childcare
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,ECD,Early Learning and childcare
975,Oasis Academy Johanna - Breakfast Club,ECD,Early Learning and childcare
976,Oasis Academy Johanna - After School Club,ECD,Early Learning and childcare
988,Rosendale Primary School Breakfast Club,ECD,Early Learning and childcare
1012,Cherubins Day Nursery Ltd,FSD,Early Learning and childcare
1072,St Peter's Church - Breakfast Club,ECD,Early Learning and childcare
1383,Brixton Library,FSD,Activities and things to do
1388,Carnegie Library,FSD,Activities and things to do
1393,Clapham Library,FSD,Activities and things to do
1399,Durning Library,FSD,Activities and things to do
1404,Minet Library,FSD,Activities and things to do
1415,Tate South Lambeth Library,FSD,Activities and things to do
1420,Streatham Library,FSD,Activities and things to do
1445,Waterloo Library,FSD,Activities and things to do
1450,West Norwood Library,FSD,Activities and things to do
1491,Slade Gardens Play And Stay,FSD,Activities and things to do
1491,Slade Gardens Play And Stay,FSD,Children’s Centres and One O’ Clock Clubs
1514,Kennington Park Centre Stay And Play,FSD,Activities and things to do
1514,Kennington Park Centre Stay And Play,FSD,Children’s Centres and One O’ Clock Clubs
1517,Vauxhall Primary School - Breakfast Club,FSD,Early Learning and childcare
1519,Kennington Park Centre Adventure Playground,FSD,Activities and things to do
1525,Streatham Vale Stay And Play,FSD,Activities and things to do
1525,Streatham Vale Stay And Play,FSD,Children’s Centres and One O’ Clock Clubs
1612,Friday Youth Club @ Slade Gardens Adventure Playground,FSD,Activities and things to do
1616,Streatham Adventure Playground,FSD,Activities and things to do
1657,Flaxman Sports Centre,FSD,Activities and things to do
1658,Clapham Leisure Centre,FSD,Activities and things to do
1678,Streatham Ice And Leisure Centre,FSD,Activities and things to do
1706,Clapham Manor - Breakfast Club,ECD,Early Learning and childcare
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,FSD,Children’s Centres and One O’ Clock Clubs
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,FSD,Health and well being
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,FSD,Early Learning and childcare
1930,Rough Sleepers Space,FSD,Support and advice services
1932,Women's Space,FSD,Support and advice services
1938,Whippersnappers,FSD,Activities and things to do
1941,Camberwell Sexual Health Centre,FSD,Health and wellbeing
2031,Young And Talented - School Of Stage And Screen,FSD,Activities and things to do
2032,Saturday Classe,FSD,Activities and things to do
2054,Art4space,FSD,Activities and things to do
2113,St Michael's Fellowship,FSD,Support and advice services
2124,High Trees Community Development Trust,FSD,Activities and things to do
2124,High Trees Community Development Trust,FSD,"Education, Schools and Learning"
2124,High Trees Community Development Trust,FSD,Support and advice services
2124,High Trees Community Development Trust,FSD,"Training, employment and education for adults"
2183,Fulham Football Club Foundation,FSD,Activities and things to do
2202,King’s College Hospital Nhs Foundation Trust,FSD,Health and well being
2202,King’s College Hospital Nhs Foundation Trust,FSD,Health and wellbeing
2279,Rathbone Youth Service,FSD,Activities and things to do
2312,Wyvil Language Centre,FSD,"Education, Schools and Learning"
2321,Home-Start Lambeth,FSD,Support and advice services
2619,Alford House Youth Club,FSD,Activities and things to do
2665,Hill Mead Primary School - Breakfast Club,ECD,Early Learning and childcare
2701,Special Educational Needs (SEND),FSD,Support and advice services
2704,S.Y.C.T. Seniors Club,FSD,Activities and things to do
2821,Oasis Play After School Environmental Play,FSD,Activities and things to do
2900,Brixton Advice Centre,FSD,Support and advice services
2913,Brockwell Park Community Greenhouses,FSD,Activities and things to do
2913,Brockwell Park Community Greenhouses,FSD,"Education, Schools and Learning"
3013,St Stephen's Youth Work,FSD,Activities and things to do
3048,Lifelong Family Links Playschemes,FSD,Activities and things to do
3076,Bonneville Primary School - Carry On Café,ECD,Early Learning and childcare
3093,Every Pound Counts,FSD,Support and advice services
3095,Park Campus Academy (Secondary Alternative Provision),ECD,"Education, Schools and Learning"
3151,Code 7 Ltd,FSD,Activities and things to do
3151,Code 7 Ltd,FSD,Support and advice services
3151,Code 7 Ltd,FSD,Getting into employment or training
3156,Ferndale Community Sports Centre,FSD,Activities and things to do
3210,Scope,FSD,Support and advice services
3444,Lambeth Somali Community Association,FSD,Support and advice services
3444,Lambeth Somali Community Association,FSD,"Training, employment and education for adults"
3444,Lambeth Somali Community Association,FSD,"Training, employment and skills"
3591,Online Homework Club,FSD,Activities and things to do
3660,Kidscape,FSD,Support and advice services
3660,Kidscape,FSD,Health and wellbeing
3711,Lambeth Autism Group (National Autistic Society Lambeth Branch),FSD,Support and advice services
3755,Lambeth Adoption And Fostering,FSD,Support and advice services
3843,Wheels For Wellbeing,FSD,Activities and things to do
3940,Crystal Palace Community Development Trust,FSD,"Training, employment and education for adults"
3940,Crystal Palace Community Development Trust,FSD,Getting into employment or training
3955,Kingswood Estate Community Shop,FSD,Support and advice services
