System_Ref,FIS_Provider_Name,Upload_to_FIDy,Level_2_Description
4063,Welcare - Lambeth Office,FSD,Support and advice services
4147,National Autistic Society,FSD,Support and advice services
4265,Childline,FSD,Health and wellbeing
4286,Lambeth Participation And Engagement Service (PES),FSD,Support and advice services
4335,Disability Advice Service Lambeth (DASL),FSD,Health and well being
4335,Disability Advice Service Lambeth (DASL),FSD,Support and advice services
4499,St Leonard's Church Of England Primary School - Breakfast Club,ECD,Early Learning and childcare
4516,Norwood Community Group Services,FSD,Activities and things to do
4516,Norwood Community Group Services,FSD,"Training, employment and education for adults"
4516,Norwood Community Group Services,FSD,Getting into employment or training
4536,Kennington Park Academy (Primary Alternative Provision),ECD,"Education, Schools and Learning"
4684,Roots & Shoots,FSD,"Education, Schools and Learning"
4684,Roots & Shoots,FSD,"Training, employment and skills"
4684,Roots & Shoots,FSD,Getting into employment or training
4696,South Central Youth Ltd - Youth Projects,FSD,Support and advice services
4817,St Stephen's Church Of England Primary School - After School Club,ECD,Early Learning and childcare
4842,Kids' City At Sudbourne Primary School - After School Club,FSD,Early Learning and childcare
4851,Alford House Mixed Youth Club,FSD,Activities and things to do
4852,Alford House Girls Youth Club,FSD,Activities and things to do
4980,Morley College,FSD,"Education, Schools and Learning"
5067,Bigkid Foundation,FSD,Activities and things to do
5067,Bigkid Foundation,FSD,Support and advice services
5114,S.Y.C.T. Streatham Wednesday Group,FSD,Activities and things to do
5325,Coin Street Neighbourhood Centre,FSD,Activities and things to do
5391,Butterfly After School Club,ECD,Early Learning and childcare
5471,Springfield Community Flat Breakfast Club,ECD,Early Learning and childcare
5528,Chocolate Films Workshops,FSD,Activities and things to do
5678,Grove Adventure Playground,FSD,Activities and things to do
5771,Sports City At Richard Atkins Primary School - Breakfast Club,FSD,Early Learning and childcare
5836,Oakden Kids Club,ECD,Early Learning and childcare
5869,All Sewn Up Training Project,FSD,Activities and things to do
5975,Saturday Community Days,FSD,Activities and things to do
5982,Prime Childcare Services,FSD,"Education, Schools and Learning"
6019,Ashmole Primary School Edc - Extended Day Care,ECD,Early Learning and childcare
6022,Bonneville Primary School - Reading Café,ECD,Early Learning and childcare
6023,Henry Cavendish Primary School -  Breakfast Club (Balham),ECD,Early Learning and childcare
6024,Sudbourne Primary School - Breakfast Club,ECD,Early Learning and childcare
6025,Heathbrook Primary School - Breakfast Club,ECD,Early Learning and childcare
6026,Heathbrook Primary School - After School Club,ECD,Early Learning and childcare
6029,Sunnyhill Primary School - Breakfast Club,ECD,Early Learning and childcare
6032,Kid's City At Woodmansterne Primary School - Breakfast Club,FSD,Early Learning and childcare
6033,Immanuel And St Andrew C Of E Primary School - After School Club,ECD,Early Learning and childcare
6041,Allen Edwards Primary School - Breakfast Club,ECD,Early Learning and childcare
6043,Crown Lane Primary School - Breakfast Club,ECD,Early Learning and childcare
6077,Rape Crisis South London,FSD,Support and advice services
6116,Upper Norwood Library,FSD,Activities and things to do
6126,Corpus Christi Catholic Primary School - After School Club,ECD,Early Learning and childcare
6128,Clapham Manor Primary School - After School Club,ECD,Early Learning and childcare
6129,Streatham Wells Primary School - After School Club,ECD,Early Learning and childcare
6130,Stockwell Primary School - Breakfast Club,ECD,Early Learning and childcare
6132,Richard Atkins Primary School - Breakfast Club,ECD,Early Learning and childcare
6135,Loughborough Primary School - Holiday Provision,FSD,Early Learning and childcare
6138,Lily's Kids Klub,ECD,Early Learning and childcare
6139,Lily's Kids Klub,ECD,Early Learning and childcare
6143,Jubilee Primary School - Breakfast Club,ECD,Early Learning and childcare
6149,Christ Church Primary Sw9 - Breakfast Club,ECD,Early Learning and childcare
6151,Wyvil Primary School - Breakfast Club,ECD,Early Learning and childcare
6156,Wellfield Education,FSD,"Education, Schools and Learning"
6197,Fenstanton Infant School - Breakfast Club,ECD,Early Learning and childcare
6198,Fenstanton Infant School - After School Club,ECD,Early Learning and childcare
6213,Cherubins Holiday Club,FSD,Early Learning and childcare
6373,Brixton Wings,FSD,Activities and things to do
6580,Corpus Christi Catholic Primary School - Breakfast Club,FSD,Early Learning and childcare
6583,Archbishop Sumner School - Breakfast Club,ECD,Early Learning and childcare
6584,Jessop Primary School - Breakfast Club,ECD,Early Learning and childcare
6585,Jessop Primary School - After School Club,ECD,Early Learning and childcare
6586,Holy Trinity Church Of England Primary School - Breakfast Club,ECD,Early Learning and childcare
6587,Kings Avenue Primary School - Breakfast Club,ECD,Early Learning and childcare
6588,Kings Avenue Primary School - After School Club,ECD,Early Learning and childcare
6589,Kingswood Primary School - Breakfast Club,ECD,Early Learning and childcare
6590,Kingswood Primary School - After School Club,ECD,Early Learning and childcare
6591,Larkhall Children's Centre - Breakfast Club,ECD,Early Learning and childcare
6592,Larkhall Children's Centre - After School Club,ECD,Early Learning and childcare
6602,St Andrew's Roman Catholic Primary - Sunrise Breakfast Club,ECD,Early Learning and childcare
6603,Telferscot Primary School - Breakfast Club,ECD,Early Learning and childcare
6606,Henry Cavendish Primary School  - Breakfast Club (Streatham),ECD,Early Learning and childcare
6607,St Saviour's School - Breakfast Club,ECD,Early Learning and childcare
6661,Explore Learning Brixton,FSD,"Education, Schools and Learning"
6704,Aurora House - Centre For Children With Autism,FSD,"Education, Schools and Learning"
6712,Oasis Adventure Playground,FSD,Activities and things to do
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),FSD,Activities and things to do
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),FSD,Support and advice services
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),FSD,"Training, employment and education for adults"
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),FSD,Getting into employment or training
6805,Afewee Training Centre,FSD,Activities and things to do
6894,The Oasis Inclusion Project,FSD,Activities and things to do
6961,Streatham Leisure Centre Holiday Play Scheme,FSD,Activities and things to do
6962,YPM Childcare Provider at Granton,ECD,Early Learning and childcare
7068,Coin Street Young Leaders,FSD,Activities and things to do
7075,YPM Childcare Provider at Granton,ECD,Early Learning and childcare
7103,Pacca Out Of School Project,FSD,Early Learning and childcare
7110,Pacca Out Of School Project,FSD,Early Learning and childcare
7120,Young People Matter At The Old  Laundry - After School Club,ECD,Early Learning and childcare
7171,Brixton Recreation Centre,FSD,Activities and things to do
7200,Spiral Skills Cic,FSD,Activities and things to do
7200,Spiral Skills Cic,FSD,"Education, Schools and Learning"
7200,Spiral Skills Cic,FSD,Getting into employment or training
7240,Brixton Recreation Centre Play Scheme,FSD,Early Learning and childcare
7242,Super Camps at Dunraven School,FSD,Activities and things to do
7242,Super Camps at Dunraven School,FSD,Early Learning and childcare
7244,Walnut Tree Walk Primary School - Breakfast Club,ECD,Early Learning and childcare
7245,Walnut Tree Walk Primary School - After School Club,ECD,Early Learning and childcare
7252,Dewdrops Play Scheme/nursery - After School Club,ECD,Early Learning and childcare
7253,Dewdrops Play Scheme/nursery - Breakfast Club,ECD,Early Learning and childcare
7254,Dewdrops Play Scheme/Nursery,FSD,Early Learning and childcare
7260,Fit For Sport At Paxton Primary School - Breakfast Club,ECD,Early Learning and childcare
7261,Fit For Sport At Paxton Primary School - After School Club,ECD,Early Learning and childcare
7263,Glenbrook Primary School - Breakfast Club,FSD,Early Learning and childcare
7264,Glenbrook Primary School - After School Club,FSD,Early Learning and childcare
7268,St John's (Angell Town) Church Of England P S - Breakfast Club,FSD,Early Learning and childcare
7272,St Andrew's Church Of England Primary School - Breakfast Club,ECD,Early Learning and childcare
7273,St Andrew's Church Of England Primary School - After School Club,ECD,Early Learning and childcare
7279,Pacca Out Of School Project,FSD,Early Learning and childcare
7280,Sally Kids Care,ECD,Early Learning and childcare
7281,Sally Kids Care,ECD,Early Learning and childcare
7282,Sally Kids Care,FSD,Early Learning and childcare
7286,La Retraite Rc Girls School - After School Club,FSD,Early Learning and childcare
7315,Alifya Education Limited,FSD,"Education, Schools and Learning"
7327,Saint Gabriel's College - Breakfast Club,ECD,Early Learning and childcare
7333,South Central Youth Ltd,FSD,"Education, Schools and Learning"
7333,South Central Youth Ltd,FSD,Support and advice services
7333,South Central Youth Ltd,FSD,Health and wellbeing
7337,Kings College Hospital School,ECD,"Education, Schools and Learning"
7351,Women’s Aid (Domestic And Sexual Violence Advice & Counselling Services),FSD,Support and advice services
7352,Papa's Park And Cafe - Open Access Playground,FSD,Activities and things to do
7412,Keen London,FSD,Activities and things to do
7421,Care Trade - The School House Cafe,FSD,Getting into employment or training
7427,Oasis Nature Garden,FSD,Activities and things to do
7433,Coin Street Youth Night,FSD,Activities and things to do
7438,Coin Street  Access Fitness - Young People 12 - 21 Year Olds,FSD,Activities and things to do
7440,Coin Street Under 20's Antenatal Group,FSD,Children’s Centres and One O’ Clock Clubs
7440,Coin Street Under 20's Antenatal Group,FSD,Support and advice services
7527,Fight 4 Change @ Black Prince Hub,FSD,Activities and things to do
7553,Florence Nightingale Museum,FSD,Activities and things to do
7583,Explore Learning Nine Elms,FSD,"Education, Schools and Learning"
7587,Dyspraxia Foundation,FSD,Support and advice services
7588,Rainbow Trust Children's Charity,FSD,Health and well being
7589,The Communication Trust,FSD,Support and advice services
7591,The Children's Trust,FSD,Health and well being
7591,The Children's Trust,FSD,Support and advice services
7605,YPM After-School Club At St John's Angell Town,FSD,Early Learning and childcare
7618,Disability Sports Club (DSC),FSD,Activities and things to do
7620,National Deaf Children Society Helpline,FSD,Health and well being
7620,National Deaf Children Society Helpline,FSD,Support and advice services
7624,Kids London S.E.N.D. Mediation Service,FSD,Support and advice services
7625,Music Therapy Lambeth,ECD,Support and advice services
7630,Community Speech And Language Therapy,FSD,Health and well being
7631,Community Occupational Therapy,FSD,Health and well being
7632,Community Physiotherapy Service,FSD,Health and well being
7633,Community Paediatricians,FSD,Health and well being
7635,Lambeth Information And Advice Support Service (IASS) For Children And Young People,FSD,Support and advice services
7650,Royal Society For Blind Children,FSD,Activities and things to do
7650,Royal Society For Blind Children,FSD,Health and well being
7650,Royal Society For Blind Children,FSD,Support and advice services
7650,Royal Society For Blind Children,FSD,Health and wellbeing
7656,Disability Register And Liberty Card,FSD,Support and advice services
7658,Lambeth Information Advice And Support Service (IASS) For Parents Or Carers,FSD,Support and advice services
7670,Health Visiting Service (North),FSD,Health and well being
7671,Assistive Communication Service,FSD,Health and well being
7672,Ambitious About Autism,FSD,Support and advice services
7688,Lifelong Family Links,FSD,Support and advice services
7691,Allen Edwards Speech And Language Resource Base,FSD,"Education, Schools and Learning"
7698,Archbishop Sumner Speech And Language Resource Base,FSD,"Education, Schools and Learning"
7699,Crown Lane Resource Base,FSD,"Education, Schools and Learning"
7700,Dunraven Slcn Resource Base,FSD,"Education, Schools and Learning"
7701,Jubilee Hearing Impairment Resource Base,FSD,"Education, Schools and Learning"
7702,Lark Hall Centre For Autism,FSD,"Education, Schools and Learning"
7703,City Heights Asd Resource Base,FSD,"Education, Schools and Learning"
7704,The Elmgreen School Hearing Impairment Resource Base,FSD,"Education, Schools and Learning"
7705,London Nautical Asd Resource Base,FSD,"Education, Schools and Learning"
7717,The Autism Project,FSD,"Training, employment and education for adults"
7717,The Autism Project,FSD,Getting into employment or training
7718,Care Trade Uk,FSD,"Training, employment and education for adults"
7718,Care Trade Uk,FSD,Getting into employment or training
7727,Kids' City At St Leonards,FSD,Early Learning and childcare
8832,Play And Learn Cafe,ECD,Activities and things to do
8855,YPM ASC At Fenstanton Primary School,FSD,Early Learning and childcare
8871,Leap Confronting Conflict,ECD,Support and advice services
8871,Leap Confronting Conflict,ECD,Health and wellbeing
8872,Brixton People's Kitchen,FSD,Health and well being
8923,Vauxhall City Farm - New Shoots,FSD,Activities and things to do
8923,Vauxhall City Farm - New Shoots,FSD,Support and advice services
8946,Royal Association Of The Deaf (RAD),ECD,Activities and things to do
8949,Health Visiting Service (South East),FSD,Health and well being
8950,Health Visiting Service (South West),FSD,Health and well being
8954,Fridays @ The Old Library,FSD,Activities and things to do
8989,Waterloo Community Counselling,FSD,Health and well being
8989,Waterloo Community Counselling,FSD,Health and wellbeing
8994,Young Minds,FSD,Health and well being
8994,Young Minds,FSD,Support and advice services
8994,Young Minds,FSD,Health and wellbeing
8995,Time To Change,ECD,Health and well being
8995,Time To Change,ECD,Health and wellbeing
9023,Children With Complex Needs (Community Nursing Service),FSD,Health and well being
9024,Continuing Care For Patients With Complex Needs,FSD,Health and well being
9025,School Nursing Service,FSD,Health and well being
9288,"Little Bears, St Thomas'",FSD,Activities and things to do
9301,Fray Bambino After Care,FSD,Early Learning and childcare
9335,The Cochlear Implanted Children's Support Group (CICS Group),FSD,Health and well being
9341,Hill Mead Primary School - Resource Base,FSD,"Education, Schools and Learning"
9393,The Norwood School Breakfast Club,FSD,Early Learning and childcare
9395,St Saviour's Church Of England Primary School After School Club,FSD,Early Learning and childcare
9470,Tree Tops Breakfast And After School Club At Kings Avenue School London,FSD,Early Learning and childcare
9471,Multi-Sports Holiday Camp,FSD,Early Learning and childcare
9476,St Stephen's Church Of England Primary School - Breakfast Club,FSD,Early Learning and childcare
9477,St Mark's Church Of England Primary School - Breakfast Club,FSD,Early Learning and childcare
9480,St John The Divine C Of E Primary School - Breakfast Club,FSD,Early Learning and childcare
9509,Mosiac LGBT Youth Club,FSD,Activities and things to do
9514,Autism Voice,FSD,Support and advice services
9538,Parent Champions,FSD,Support and advice services
9538,Parent Champions,FSD,"Training, employment and education for adults"
9538,Parent Champions,FSD,LEAP (Lambeth Early Action Partnership)
9568,The Gaia Centre,FSD,Support and advice services
9569,Support For Young People At The Gaia Centre,FSD,Support and advice services
9741,Julian Cousins Sports,FSD,Activities and things to do
9762,Brixton Wings After School & Mid-Term Music Classes,FSD,Activities and things to do
9763,Brixton Wings After School & Mid-Term Rowing Programme,FSD,Activities and things to do
9764,Brixton Wings After School,FSD,Activities and things to do
9843,Kooth,FSD,Support and advice services
9843,Kooth,FSD,Health and wellbeing
9844,Centrepoint,FSD,Support and advice services
9844,Centrepoint,FSD,Health and wellbeing
9845,Young Carers Hub,FSD,Support and advice services
9845,Young Carers Hub,FSD,Health and wellbeing
9846,Cruse Bereavement Care In Lambeth,FSD,Health and well being
9846,Cruse Bereavement Care In Lambeth,FSD,Support and advice services
9846,Cruse Bereavement Care In Lambeth,FSD,Health and wellbeing
9847,South London And Maudsley - Community Camhs,FSD,Health and wellbeing
9848,Safer London - Csa Wellbeing Service,FSD,Support and advice services
9848,Safer London - Csa Wellbeing Service,FSD,Health and wellbeing
9906,Early Bird Parenting Programme Information Session - Virtual Sessions,FSD,Support and advice services
9925,Tree Tops Breakfast Club At Kings Avenue School London,FSD,Early Learning and childcare
9934,Navigate: Emotional Support For Parents With Scope,FSD,Support and advice services
9939,Group Pregnancy Care,FSD,LEAP (Lambeth Early Action Partnership)
9940,L.E.A.P. Yoga With Claudia,FSD,LEAP (Lambeth Early Action Partnership)
9943,Breastfeeding Peer Support,FSD,Support and advice services
9943,Breastfeeding Peer Support,FSD,LEAP (Lambeth Early Action Partnership)
9944,Healthy Living Platform,FSD,LEAP (Lambeth Early Action Partnership)
9946,Parent And Infant Relationship Service (PAIRS) Together Time,FSD,Support and advice services
9946,Parent And Infant Relationship Service (PAIRS) Together Time,FSD,LEAP (Lambeth Early Action Partnership)
9947,Overcrowded Housing Support Service,FSD,LEAP (Lambeth Early Action Partnership)
9948,L.E.A.P. Virtual Chattertime (15 Months - 4 Years Old),FSD,Children’s Centres and One O’ Clock Clubs
9948,L.E.A.P. Virtual Chattertime (15 Months - 4 Years Old),FSD,Health and well being
9948,L.E.A.P. Virtual Chattertime (15 Months - 4 Years Old),FSD,LEAP (Lambeth Early Action Partnership)
9949,Sharing  R E A L  With Parents,FSD,LEAP (Lambeth Early Action Partnership)
9969,The Small Project - Baby Clothes Library,FSD,Support and advice services
9974,The Small Project - Baby Clothes Library,FSD,Support and advice services
9975,Coin Street Upgrade Yourself: Tutoring And Mentoring,FSD,"Education, Schools and Learning"
9976,Coin Street Neighbourhood Centre - Stay & Play,FSD,Children’s Centres and One O’ Clock Clubs
9983,Black Thrive,FSD,Health and well being
9983,Black Thrive,FSD,Health and wellbeing
9984,Barracudas (Streatham),FSD,Activities and things to do
9984,Barracudas (Streatham),FSD,Early Learning and childcare
9989,Whippersnappers Pre-Crawlers Baby Music Session,ECD,Activities and things to do
9990,S.Y.C.T. Breakfast Club,FSD,Activities and things to do
9990,S.Y.C.T. Breakfast Club,FSD,"Education, Schools and Learning"
9996,"Lambeth Larder Connecting People, Food & Support",FSD,Health and well being
9996,"Lambeth Larder Connecting People, Food & Support",FSD,Support and advice services
9996,"Lambeth Larder Connecting People, Food & Support",FSD,Health and wellbeing
9997,S.Y.C.T. Juniors Club,FSD,Activities and things to do
9998,S.Y.C.T. Juniors Club & Inters Club,FSD,Activities and things to do
9999,Community Education Foundatiion & Lyncx (CEF Lyncx) Charity,FSD,Activities and things to do
9999,Community Education Foundatiion & Lyncx (CEF Lyncx) Charity,FSD,"Education, Schools and Learning"
10003,Right Track Project,FSD,Activities and things to do
10005,4all Between The Tracks Afterschool Club (8 To 12 Years Old),FSD,Activities and things to do
10005,4all Between The Tracks Afterschool Club (8 To 12 Years Old),FSD,Early Learning and childcare
10006,4all Between The Tracks + Afterschool Club (13 To 17 Years Old),FSD,Activities and things to do
10007,4all,FSD,Activities and things to do
10008,Afewee Boxing Classes - Minnows Club (5 To 10 Yrs Old),FSD,Activities and things to do
10009,Afewee Boxing Classes - Junior Club (11 To 16 Yrs Old),FSD,Activities and things to do
10010,Afewee Academy Football Classes (5 To 10 Years Old),FSD,Activities and things to do
10011,Afewee Academy Football Classes  (10 To 16 Years Old),FSD,Activities and things to do
10013,Autism Exchange,FSD,"Training, employment and education for adults"
10013,Autism Exchange,FSD,Getting into employment or training
10017,Alford House Music Production Studio Sessions,FSD,Activities and things to do
10018,Alford House Health And Fitness Studio Sessions,FSD,Activities and things to do
10027,Employment Support At Ethelred Children's Centre,FSD,Children’s Centres and One O’ Clock Clubs
10027,Employment Support At Ethelred Children's Centre,FSD,Support and advice services
10027,Employment Support At Ethelred Children's Centre,FSD,"Training, employment and education for adults"
10027,Employment Support At Ethelred Children's Centre,FSD,Better Start areas
10029,Chattertime At Ethelred Children's Centre - Invite Only,FSD,Children’s Centres and One O’ Clock Clubs
10029,Chattertime At Ethelred Children's Centre - Invite Only,FSD,Health and well being
10029,Chattertime At Ethelred Children's Centre - Invite Only,FSD,Better Start areas
10030,Womens Advice Surgery At Stockwell Children's Centre,FSD,Children’s Centres and One O’ Clock Clubs
10030,Womens Advice Surgery At Stockwell Children's Centre,FSD,Support and advice services
10030,Womens Advice Surgery At Stockwell Children's Centre,FSD,Better Start areas
10036,Spanish And Portuguese Chat And Play At Stockwell Children's Centre,FSD,Children’s Centres and One O’ Clock Clubs
10036,Spanish And Portuguese Chat And Play At Stockwell Children's Centre,FSD,"Training, employment and education for adults"
10036,Spanish And Portuguese Chat And Play At Stockwell Children's Centre,FSD,Better Start areas
10036,Spanish And Portuguese Chat And Play At Stockwell Children's Centre,FSD,Getting into employment or training
10038,Chattertime At Stockwell Children's Centre,FSD,Children’s Centres and One O’ Clock Clubs
10038,Chattertime At Stockwell Children's Centre,FSD,Health and well being
10038,Chattertime At Stockwell Children's Centre,FSD,Better Start areas
10040,Citizens Advice At Stockwell Children's Centre,FSD,Children’s Centres and One O’ Clock Clubs
10040,Citizens Advice At Stockwell Children's Centre,FSD,Support and advice services
10040,Citizens Advice At Stockwell Children's Centre,FSD,Better Start areas
10041,Get Going With Sewing At Stockwell Children's Centre,FSD,Children’s Centres and One O’ Clock Clubs
10041,Get Going With Sewing At Stockwell Children's Centre,FSD,"Training, employment and education for adults"
10041,Get Going With Sewing At Stockwell Children's Centre,FSD,Better Start areas
10047,North Lambeth Better Start Area: Ethelred Children's Centre,FSD,Children’s Centres and One O’ Clock Clubs
10048,Child Health Clinic At Stockwell Children's Centre,FSD,Children’s Centres and One O’ Clock Clubs
10048,Child Health Clinic At Stockwell Children's Centre,FSD,Health and well being
10048,Child Health Clinic At Stockwell Children's Centre,FSD,Better Start areas
10049,North Lambeth Better Start Area: Henry Fawcett Children's Centre,FSD,Children’s Centres and One O’ Clock Clubs
