System_Ref,FIS_Provider_Name,Level_1_Description,Upload_to_FIDy
7440,Coin Street Under 20's Antenatal Group,Families,FSD
7440,Coin Street Under 20's Antenatal Group,SEND Local Offer,FSD
7440,Coin Street Under 20's Antenatal Group,Young People,FSD
7527,Fight 4 Change @ Black Prince Hub,Young People,FSD
7553,Florence Nightingale Museum,Families,FSD
7553,Florence Nightingale Museum,SEND Local Offer,FSD
7553,Florence Nightingale Museum,Young People,FSD
7583,Explore Learning Nine Elms,Families,FSD
7583,Explore Learning Nine Elms,SEND Local Offer,FSD
7587,Dyspraxia Foundation,Families,FSD
7587,Dyspraxia Foundation,SEND Local Offer,FSD
7588,Rainbow Trust Children's Charity,Families,FSD
7588,Rainbow Trust Children's Charity,SEND Local Offer,FSD
7589,The Communication Trust,Families,FSD
7589,The Communication Trust,SEND Local Offer,FSD
7591,The Children's Trust,Families,FSD
7591,The Children's Trust,SEND Local Offer,FSD
7605,YPM After-School Club At St John's Angell Town,Families,FSD
7605,YPM After-School Club At St John's Angell Town,SEND Local Offer,FSD
7618,Disability Sports Club (DSC),Families,FSD
7618,Disability Sports Club (DSC),SEND Local Offer,FSD
7618,Disability Sports Club (DSC),Young People,FSD
7620,National Deaf Children Society Helpline,Families,FSD
7620,National Deaf Children Society Helpline,SEND Local Offer,FSD
7624,Kids London S.E.N.D. Mediation Service,Families,FSD
7624,Kids London S.E.N.D. Mediation Service,SEND Local Offer,FSD
7625,Music Therapy Lambeth,Families,ECD
7625,Music Therapy Lambeth,SEND Local Offer,ECD
7630,Community Speech And Language Therapy,Families,FSD
7630,Community Speech And Language Therapy,SEND Local Offer,FSD
7631,Community Occupational Therapy,Families,FSD
7631,Community Occupational Therapy,SEND Local Offer,FSD
7632,Community Physiotherapy Service,Families,FSD
7632,Community Physiotherapy Service,SEND Local Offer,FSD
7633,Community Paediatricians,Families,FSD
7633,Community Paediatricians,SEND Local Offer,FSD
7635,Lambeth Information And Advice Support Service (IASS) For Children And Young People,Families,FSD
7635,Lambeth Information And Advice Support Service (IASS) For Children And Young People,SEND Local Offer,FSD
7650,Royal Society For Blind Children,Families,FSD
7650,Royal Society For Blind Children,SEND Local Offer,FSD
7650,Royal Society For Blind Children,Young People,FSD
7656,Disability Register And Liberty Card,Families,FSD
7656,Disability Register And Liberty Card,SEND Local Offer,FSD
7656,Disability Register And Liberty Card,Young People,FSD
7658,Lambeth Information Advice And Support Service (IASS) For Parents Or Carers,Families,FSD
7658,Lambeth Information Advice And Support Service (IASS) For Parents Or Carers,SEND Local Offer,FSD
7670,Health Visiting Service (North),Families,FSD
7670,Health Visiting Service (North),SEND Local Offer,FSD
7671,Assistive Communication Service,Families,FSD
7671,Assistive Communication Service,SEND Local Offer,FSD
7672,Ambitious About Autism,Families,FSD
7672,Ambitious About Autism,SEND Local Offer,FSD
7672,Ambitious About Autism,Young People,FSD
7688,Lifelong Family Links,Families,FSD
7688,Lifelong Family Links,SEND Local Offer,FSD
7688,Lifelong Family Links,Young People,FSD
7691,Allen Edwards Speech And Language Resource Base,Families,FSD
7691,Allen Edwards Speech And Language Resource Base,SEND Local Offer,FSD
7698,Archbishop Sumner Speech And Language Resource Base,Families,FSD
7698,Archbishop Sumner Speech And Language Resource Base,SEND Local Offer,FSD
7699,Crown Lane Resource Base,Families,FSD
7699,Crown Lane Resource Base,SEND Local Offer,FSD
7700,Dunraven Slcn Resource Base,Families,FSD
7700,Dunraven Slcn Resource Base,SEND Local Offer,FSD
7701,Jubilee Hearing Impairment Resource Base,Families,FSD
7701,Jubilee Hearing Impairment Resource Base,SEND Local Offer,FSD
7702,Lark Hall Centre For Autism,Families,FSD
7702,Lark Hall Centre For Autism,SEND Local Offer,FSD
7703,City Heights Asd Resource Base,Families,FSD
7703,City Heights Asd Resource Base,SEND Local Offer,FSD
7704,The Elmgreen School Hearing Impairment Resource Base,Families,FSD
7704,The Elmgreen School Hearing Impairment Resource Base,SEND Local Offer,FSD
7705,London Nautical Asd Resource Base,Families,FSD
7705,London Nautical Asd Resource Base,SEND Local Offer,FSD
7717,The Autism Project,Families,FSD
7717,The Autism Project,SEND Local Offer,FSD
7718,Care Trade Uk,Families,FSD
7718,Care Trade Uk,SEND Local Offer,FSD
7718,Care Trade Uk,Young People,FSD
7727,Kids' City At St Leonards,Families,FSD
7727,Kids' City At St Leonards,SEND Local Offer,FSD
8832,Play And Learn Cafe,Families,ECD
8832,Play And Learn Cafe,SEND Local Offer,ECD
8855,YPM ASC At Fenstanton Primary School,Families,FSD
8855,YPM ASC At Fenstanton Primary School,SEND Local Offer,FSD
8871,Leap Confronting Conflict,Families,ECD
8871,Leap Confronting Conflict,SEND Local Offer,ECD
8871,Leap Confronting Conflict,Young People,ECD
8872,Brixton People's Kitchen,Families,FSD
8872,Brixton People's Kitchen,SEND Local Offer,FSD
8923,Vauxhall City Farm - New Shoots,Young People,FSD
8946,Royal Association Of The Deaf (RAD),Families,ECD
8946,Royal Association Of The Deaf (RAD),SEND Local Offer,ECD
8949,Health Visiting Service (South East),Families,FSD
8949,Health Visiting Service (South East),SEND Local Offer,FSD
8950,Health Visiting Service (South West),Families,FSD
8950,Health Visiting Service (South West),SEND Local Offer,FSD
8954,Fridays @ The Old Library,Families,FSD
8954,Fridays @ The Old Library,SEND Local Offer,FSD
8989,Waterloo Community Counselling,Families,FSD
8989,Waterloo Community Counselling,Young People,FSD
8994,Young Minds,Families,FSD
8994,Young Minds,SEND Local Offer,FSD
8994,Young Minds,Young People,FSD
8995,Time To Change,Families,ECD
8995,Time To Change,SEND Local Offer,ECD
8995,Time To Change,Young People,ECD
9023,Children With Complex Needs (Community Nursing Service),Families,FSD
9023,Children With Complex Needs (Community Nursing Service),SEND Local Offer,FSD
9024,Continuing Care For Patients With Complex Needs,Families,FSD
9024,Continuing Care For Patients With Complex Needs,SEND Local Offer,FSD
9025,School Nursing Service,Families,FSD
9025,School Nursing Service,SEND Local Offer,FSD
9288,"Little Bears, St Thomas'",Families,FSD
9301,Fray Bambino After Care,Families,FSD
9301,Fray Bambino After Care,SEND Local Offer,FSD
9335,The Cochlear Implanted Children's Support Group (CICS Group),Families,FSD
9335,The Cochlear Implanted Children's Support Group (CICS Group),SEND Local Offer,FSD
9341,Hill Mead Primary School - Resource Base,Families,FSD
9341,Hill Mead Primary School - Resource Base,SEND Local Offer,FSD
9393,The Norwood School Breakfast Club,Families,FSD
9393,The Norwood School Breakfast Club,SEND Local Offer,FSD
9395,St Saviour's Church Of England Primary School After School Club,Families,FSD
9395,St Saviour's Church Of England Primary School After School Club,SEND Local Offer,FSD
9470,Tree Tops Breakfast And After School Club At Kings Avenue School London,Families,FSD
9470,Tree Tops Breakfast And After School Club At Kings Avenue School London,SEND Local Offer,FSD
9471,Multi-Sports Holiday Camp,Families,FSD
9471,Multi-Sports Holiday Camp,SEND Local Offer,FSD
9476,St Stephen's Church Of England Primary School - Breakfast Club,Families,FSD
9476,St Stephen's Church Of England Primary School - Breakfast Club,SEND Local Offer,FSD
9477,St Mark's Church Of England Primary School - Breakfast Club,Families,FSD
9477,St Mark's Church Of England Primary School - Breakfast Club,SEND Local Offer,FSD
9480,St John The Divine C Of E Primary School - Breakfast Club,Families,FSD
9480,St John The Divine C Of E Primary School - Breakfast Club,SEND Local Offer,FSD
9509,Mosiac LGBT Youth Club,Families,FSD
9509,Mosiac LGBT Youth Club,SEND Local Offer,FSD
9509,Mosiac LGBT Youth Club,Young People,FSD
9514,Autism Voice,Families,FSD
9514,Autism Voice,SEND Local Offer,FSD
9538,Parent Champions,Families,FSD
9568,The Gaia Centre,Families,FSD
9568,The Gaia Centre,SEND Local Offer,FSD
9568,The Gaia Centre,Young People,FSD
9569,Support For Young People At The Gaia Centre,Young People,FSD
9741,Julian Cousins Sports,Families,FSD
9741,Julian Cousins Sports,SEND Local Offer,FSD
9741,Julian Cousins Sports,Young People,FSD
9762,Brixton Wings After School & Mid-Term Music Classes,Families,FSD
9762,Brixton Wings After School & Mid-Term Music Classes,SEND Local Offer,FSD
9762,Brixton Wings After School & Mid-Term Music Classes,Young People,FSD
9763,Brixton Wings After School & Mid-Term Rowing Programme,Families,FSD
9763,Brixton Wings After School & Mid-Term Rowing Programme,Young People,FSD
9764,Brixton Wings After School,Families,FSD
9764,Brixton Wings After School,SEND Local Offer,FSD
9764,Brixton Wings After School,Young People,FSD
9843,Kooth,Young People,FSD
9844,Centrepoint,Young People,FSD
9845,Young Carers Hub,Young People,FSD
9846,Cruse Bereavement Care In Lambeth,Families,FSD
9846,Cruse Bereavement Care In Lambeth,SEND Local Offer,FSD
9846,Cruse Bereavement Care In Lambeth,Young People,FSD
9847,South London And Maudsley - Community Camhs,Young People,FSD
9848,Safer London - Csa Wellbeing Service,Young People,FSD
9906,Early Bird Parenting Programme Information Session - Virtual Sessions,Families,FSD
9906,Early Bird Parenting Programme Information Session - Virtual Sessions,SEND Local Offer,FSD
9925,Tree Tops Breakfast Club At Kings Avenue School London,Families,FSD
9925,Tree Tops Breakfast Club At Kings Avenue School London,SEND Local Offer,FSD
9934,Navigate: Emotional Support For Parents With Scope,Families,FSD
9934,Navigate: Emotional Support For Parents With Scope,SEND Local Offer,FSD
9939,Group Pregnancy Care,Families,FSD
9940,L.E.A.P. Yoga With Claudia,Families,FSD
9943,Breastfeeding Peer Support,Families,FSD
9943,Breastfeeding Peer Support,SEND Local Offer,FSD
9944,Healthy Living Platform,Families,FSD
9946,Parent And Infant Relationship Service (PAIRS) Together Time,Families,FSD
9946,Parent And Infant Relationship Service (PAIRS) Together Time,SEND Local Offer,FSD
9946,Parent And Infant Relationship Service (PAIRS) Together Time,Young People,FSD
9947,Overcrowded Housing Support Service,Families,FSD
9948,L.E.A.P. Virtual Chattertime (15 Months - 4 Years Old),Families,FSD
9948,L.E.A.P. Virtual Chattertime (15 Months - 4 Years Old),SEND Local Offer,FSD
9949,Sharing  R E A L  With Parents,Families,FSD
9969,The Small Project - Baby Clothes Library,Families,FSD
9969,The Small Project - Baby Clothes Library,SEND Local Offer,FSD
9974,The Small Project - Baby Clothes Library,Families,FSD
9974,The Small Project - Baby Clothes Library,SEND Local Offer,FSD
9975,Coin Street Upgrade Yourself: Tutoring And Mentoring,Families,FSD
9975,Coin Street Upgrade Yourself: Tutoring And Mentoring,SEND Local Offer,FSD
9975,Coin Street Upgrade Yourself: Tutoring And Mentoring,Young People,FSD
9976,Coin Street Neighbourhood Centre - Stay & Play,Families,FSD
9976,Coin Street Neighbourhood Centre - Stay & Play,SEND Local Offer,FSD
9983,Black Thrive,Families,FSD
9983,Black Thrive,SEND Local Offer,FSD
9983,Black Thrive,Young People,FSD
9984,Barracudas (Streatham),Families,FSD
9984,Barracudas (Streatham),SEND Local Offer,FSD
9989,Whippersnappers Pre-Crawlers Baby Music Session,Families,ECD
9989,Whippersnappers Pre-Crawlers Baby Music Session,SEND Local Offer,ECD
9990,S.Y.C.T. Breakfast Club,Families,FSD
9990,S.Y.C.T. Breakfast Club,SEND Local Offer,FSD
9990,S.Y.C.T. Breakfast Club,Young People,FSD
9996,"Lambeth Larder Connecting People, Food & Support",Families,FSD
9996,"Lambeth Larder Connecting People, Food & Support",SEND Local Offer,FSD
9996,"Lambeth Larder Connecting People, Food & Support",Young People,FSD
9997,S.Y.C.T. Juniors Club,Families,FSD
9997,S.Y.C.T. Juniors Club,SEND Local Offer,FSD
9997,S.Y.C.T. Juniors Club,Young People,FSD
9998,S.Y.C.T. Juniors Club & Inters Club,Families,FSD
9998,S.Y.C.T. Juniors Club & Inters Club,SEND Local Offer,FSD
9998,S.Y.C.T. Juniors Club & Inters Club,Young People,FSD
9999,Community Education Foundatiion & Lyncx (CEF Lyncx) Charity,Families,FSD
9999,Community Education Foundatiion & Lyncx (CEF Lyncx) Charity,SEND Local Offer,FSD
9999,Community Education Foundatiion & Lyncx (CEF Lyncx) Charity,Young People,FSD
10003,Right Track Project,Families,FSD
10003,Right Track Project,SEND Local Offer,FSD
10003,Right Track Project,Young People,FSD
10005,4all Between The Tracks Afterschool Club (8 To 12 Years Old),Families,FSD
10005,4all Between The Tracks Afterschool Club (8 To 12 Years Old),SEND Local Offer,FSD
10005,4all Between The Tracks Afterschool Club (8 To 12 Years Old),Young People,FSD
10006,4all Between The Tracks + Afterschool Club (13 To 17 Years Old),Families,FSD
10006,4all Between The Tracks + Afterschool Club (13 To 17 Years Old),SEND Local Offer,FSD
10006,4all Between The Tracks + Afterschool Club (13 To 17 Years Old),Young People,FSD
10007,4all,Families,FSD
10007,4all,SEND Local Offer,FSD
10007,4all,Young People,FSD
10008,Afewee Boxing Classes - Minnows Club (5 To 10 Yrs Old),Families,FSD
10008,Afewee Boxing Classes - Minnows Club (5 To 10 Yrs Old),SEND Local Offer,FSD
10008,Afewee Boxing Classes - Minnows Club (5 To 10 Yrs Old),Young People,FSD
10009,Afewee Boxing Classes - Junior Club (11 To 16 Yrs Old),Families,FSD
10009,Afewee Boxing Classes - Junior Club (11 To 16 Yrs Old),SEND Local Offer,FSD
10010,Afewee Academy Football Classes (5 To 10 Years Old),Families,FSD
10010,Afewee Academy Football Classes (5 To 10 Years Old),SEND Local Offer,FSD
10010,Afewee Academy Football Classes (5 To 10 Years Old),Young People,FSD
10011,Afewee Academy Football Classes  (10 To 16 Years Old),Families,FSD
10011,Afewee Academy Football Classes  (10 To 16 Years Old),SEND Local Offer,FSD
10011,Afewee Academy Football Classes  (10 To 16 Years Old),Young People,FSD
10013,Autism Exchange,Families,FSD
10013,Autism Exchange,SEND Local Offer,FSD
10013,Autism Exchange,Young People,FSD
10017,Alford House Music Production Studio Sessions,Families,FSD
10017,Alford House Music Production Studio Sessions,SEND Local Offer,FSD
10017,Alford House Music Production Studio Sessions,Young People,FSD
10018,Alford House Health And Fitness Studio Sessions,Families,FSD
10018,Alford House Health And Fitness Studio Sessions,SEND Local Offer,FSD
10018,Alford House Health And Fitness Studio Sessions,Young People,FSD
10027,Employment Support At Ethelred Children's Centre,Families,FSD
10027,Employment Support At Ethelred Children's Centre,SEND Local Offer,FSD
10029,Chattertime At Ethelred Children's Centre - Invite Only,Families,FSD
10029,Chattertime At Ethelred Children's Centre - Invite Only,SEND Local Offer,FSD
10030,Womens Advice Surgery At Stockwell Children's Centre,Families,FSD
10030,Womens Advice Surgery At Stockwell Children's Centre,SEND Local Offer,FSD
10036,Spanish And Portuguese Chat And Play At Stockwell Children's Centre,Families,FSD
10036,Spanish And Portuguese Chat And Play At Stockwell Children's Centre,SEND Local Offer,FSD
10038,Chattertime At Stockwell Children's Centre,Families,FSD
10038,Chattertime At Stockwell Children's Centre,SEND Local Offer,FSD
10040,Citizens Advice At Stockwell Children's Centre,Families,FSD
10040,Citizens Advice At Stockwell Children's Centre,SEND Local Offer,FSD
10041,Get Going With Sewing At Stockwell Children's Centre,Families,FSD
10041,Get Going With Sewing At Stockwell Children's Centre,SEND Local Offer,FSD
10047,North Lambeth Better Start Area: Ethelred Children's Centre,Families,FSD
10047,North Lambeth Better Start Area: Ethelred Children's Centre,SEND Local Offer,FSD
10048,Child Health Clinic At Stockwell Children's Centre,Families,FSD
10048,Child Health Clinic At Stockwell Children's Centre,SEND Local Offer,FSD
10049,North Lambeth Better Start Area: Henry Fawcett Children's Centre,Families,FSD
10049,North Lambeth Better Start Area: Henry Fawcett Children's Centre,SEND Local Offer,FSD
10052,Stay And Play At Liz Atkinson Children's Centre,Families,FSD
10052,Stay And Play At Liz Atkinson Children's Centre,SEND Local Offer,FSD
10055,Toddler Story And Song Time At Stockwell Children's Centre,Families,FSD
10055,Toddler Story And Song Time At Stockwell Children's Centre,SEND Local Offer,FSD
10060,North Lambeth Better Start Area: St Stephen's Children's Centre,Families,FSD
10060,North Lambeth Better Start Area: St Stephen's Children's Centre,SEND Local Offer,FSD
10061,Brixton Stockwell Better Start Area: Stockwell Children's Centre,Families,FSD
10061,Brixton Stockwell Better Start Area: Stockwell Children's Centre,SEND Local Offer,FSD
10062,Brixton Stockwell Better Start Area: Jessop Children's Centre,Families,FSD
10062,Brixton Stockwell Better Start Area: Jessop Children's Centre,SEND Local Offer,FSD
10063,Brixton Stockwell Better Start Area: Liz Atkinson Children's Centre,Families,FSD
10063,Brixton Stockwell Better Start Area: Liz Atkinson Children's Centre,SEND Local Offer,FSD
10064,Brixton Tulse Hill Better Start Area: Loughborough Children's Centre,Families,FSD
10064,Brixton Tulse Hill Better Start Area: Loughborough Children's Centre,SEND Local Offer,FSD
10065,Brixton Tulse Hill Better Start Area: Jubilee Children's Centre,Families,FSD
10065,Brixton Tulse Hill Better Start Area: Jubilee Children's Centre,SEND Local Offer,FSD
10068,Brixton Tulse Hill Better Start Area: Effra At Brockwell Children's Centre,Families,FSD
10068,Brixton Tulse Hill Better Start Area: Effra At Brockwell Children's Centre,SEND Local Offer,FSD
10069,Baby Explorers At Henry Fawcett Children's Centre,Families,FSD
10069,Baby Explorers At Henry Fawcett Children's Centre,SEND Local Offer,FSD
10070,Norwood Better Start Area: Benton's Lane Children's Centre,Families,FSD
10070,Norwood Better Start Area: Benton's Lane Children's Centre,SEND Local Offer,FSD
10071,Norwood Better Start Area: Rosendale Children's Centre,Families,FSD
10071,Norwood Better Start Area: Rosendale Children's Centre,SEND Local Offer,FSD
10072,Norwood Better Start Area: Crown Lane Children's Centre,Families,FSD
10072,Norwood Better Start Area: Crown Lane Children's Centre,SEND Local Offer,FSD
10074,Streatham Better Start Area: Hitherfield Children's Centre,Families,FSD
10074,Streatham Better Start Area: Hitherfield Children's Centre,SEND Local Offer,FSD
10076,Streatham Better Start Area: Sunnyhill Children's Centre,Families,FSD
10076,Streatham Better Start Area: Sunnyhill Children's Centre,SEND Local Offer,FSD
10077,Streatham Better Start Area: Streatham Hub Children's Centre,Families,FSD
10077,Streatham Better Start Area: Streatham Hub Children's Centre,SEND Local Offer,FSD
10084,Clapham And Brixton Hill Better Start Area: Maytree Children's Centre,Families,FSD
10084,Clapham And Brixton Hill Better Start Area: Maytree Children's Centre,SEND Local Offer,FSD
10085,Clapham And Brixton Hill Better Start Area - Clapham Manor Children's Centre,Families,FSD
10085,Clapham And Brixton Hill Better Start Area - Clapham Manor Children's Centre,SEND Local Offer,FSD
10086,Clapham And Brixton Hill Better Start Area: Tree House Children's Centre,Families,FSD
10086,Clapham And Brixton Hill Better Start Area: Tree House Children's Centre,SEND Local Offer,FSD
10107,Baby And Me Messy Play At Loughborough Children's Centre,Families,FSD
10107,Baby And Me Messy Play At Loughborough Children's Centre,SEND Local Offer,FSD
10117,Small Group Stay And Play 0 To 4 Years At Streatham Hub Children's Centre,Families,FSD
10117,Small Group Stay And Play 0 To 4 Years At Streatham Hub Children's Centre,SEND Local Offer,FSD
10118,Meet and Greet for New Parents and Children at Sunnyhill Children''s Centre,Families,FSD
10118,Meet and Greet for New Parents and Children at Sunnyhill Children''s Centre,SEND Local Offer,FSD
10119,Baby Explorers At Hitherfield Children's Centre,Families,FSD
10119,Baby Explorers At Hitherfield Children's Centre,SEND Local Offer,FSD
10122,E.S.O.L. At Benton's Lane Children's Centre,Families,FSD
10122,E.S.O.L. At Benton's Lane Children's Centre,SEND Local Offer,FSD
10125,Natural Thinkers At Brockwell One O'Clock Club,Families,FSD
10125,Natural Thinkers At Brockwell One O'Clock Club,SEND Local Offer,FSD
10130,Toddler Time At Clapham Manor Children's Centre,Families,FSD
10130,Toddler Time At Clapham Manor Children's Centre,SEND Local Offer,FSD
10132,Messy Play Small Group At Tree House Children's Centre,Families,FSD
10132,Messy Play Small Group At Tree House Children's Centre,SEND Local Offer,FSD
10133,Muslim Women's Group At Brockwell One O'Clock Club,Families,FSD
10133,Muslim Women's Group At Brockwell One O'Clock Club,SEND Local Offer,FSD
10135,Stay And Play At Clapham Manor Children's Centre,Families,FSD
10135,Stay And Play At Clapham Manor Children's Centre,SEND Local Offer,FSD
10138,Stay And Play At Tree House Children's Centre,Families,FSD
10138,Stay And Play At Tree House Children's Centre,SEND Local Offer,FSD
10139,Young Parents Group At Loughborough Children's Centre,Families,FSD
10139,Young Parents Group At Loughborough Children's Centre,SEND Local Offer,FSD
10141,Introduction To Solid Foods At Clapham Manor Children's Centre,Families,FSD
10141,Introduction To Solid Foods At Clapham Manor Children's Centre,SEND Local Offer,FSD
10142,Rising Stars Stay And Play At Jubilee Children's Centre,Families,FSD
10142,Rising Stars Stay And Play At Jubilee Children's Centre,SEND Local Offer,FSD
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,Families,FSD
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,SEND Local Offer,FSD
10150,Baby Explorers At Clapham Manor Children's Centre,Families,FSD
10150,Baby Explorers At Clapham Manor Children's Centre,SEND Local Offer,FSD
10152,Sensory Room Experience @ Clapham Manor Children's Centre,Families,FSD
10152,Sensory Room Experience @ Clapham Manor Children's Centre,SEND Local Offer,FSD
10155,E.S.O.L. At Clapham Manor Children's Centre,Families,FSD
10155,E.S.O.L. At Clapham Manor Children's Centre,SEND Local Offer,FSD
10158,Employment Support At Maytree Children's Centre,Families,FSD
10158,Employment Support At Maytree Children's Centre,SEND Local Offer,FSD
10164,Hand Sewing Embroidery Class At Loughborough Children's Centre,Families,FSD
10164,Hand Sewing Embroidery Class At Loughborough Children's Centre,SEND Local Offer,FSD
10171,Lambeth Talking Therapies At Tree House Children's Centre,Families,FSD
10171,Lambeth Talking Therapies At Tree House Children's Centre,SEND Local Offer,FSD
10174,Chattertime At Maytree Children's Centre,Families,FSD
10174,Chattertime At Maytree Children's Centre,SEND Local Offer,FSD
10187,Baby Massage At Sunnyhill Children's Centre,Families,FSD
10187,Baby Massage At Sunnyhill Children's Centre,SEND Local Offer,FSD
10193,E.S.O.L. At Loughborough Children's Centre,Families,FSD
10193,E.S.O.L. At Loughborough Children's Centre,SEND Local Offer,FSD
10195,Wriggle And Rhyme At Tree House Children's Centre,Families,FSD
10195,Wriggle And Rhyme At Tree House Children's Centre,SEND Local Offer,FSD
10232,Inclusive Swimming Lessons At Clapham Leisure Centre 2 To 6 Yrs Old And 7+,Families,FSD
10232,Inclusive Swimming Lessons At Clapham Leisure Centre 2 To 6 Yrs Old And 7+,SEND Local Offer,FSD
10232,Inclusive Swimming Lessons At Clapham Leisure Centre 2 To 6 Yrs Old And 7+,Young People,FSD
10237,Martial Arts And Youth Mentoring - Warrior Mindset Programme,Families,FSD
10237,Martial Arts And Youth Mentoring - Warrior Mindset Programme,SEND Local Offer,FSD
10237,Martial Arts And Youth Mentoring - Warrior Mindset Programme,Young People,FSD
10238,Martial Arts And Youth Mentoring - Peaceful Warrior Programme',Families,FSD
10238,Martial Arts And Youth Mentoring - Peaceful Warrior Programme',SEND Local Offer,FSD
10238,Martial Arts And Youth Mentoring - Peaceful Warrior Programme',Young People,FSD
10239,Inspirational Youth,Families,FSD
10239,Inspirational Youth,SEND Local Offer,FSD
10239,Inspirational Youth,Young People,FSD
10244,Lambeth Autism Advisory Service,Families,FSD
10244,Lambeth Autism Advisory Service,SEND Local Offer,FSD
10247,Tulse Hill Adventure Playground Youth And Play Session,Families,FSD
10247,Tulse Hill Adventure Playground Youth And Play Session,SEND Local Offer,FSD
10247,Tulse Hill Adventure Playground Youth And Play Session,Young People,FSD
10249,Tulse Hill Bloco After School Club,Families,FSD
10249,Tulse Hill Bloco After School Club,SEND Local Offer,FSD
10249,Tulse Hill Bloco After School Club,Young People,FSD
10269,Dream BiG Football Elite Programme,Families,FSD
10269,Dream BiG Football Elite Programme,SEND Local Offer,FSD
10269,Dream BiG Football Elite Programme,Young People,FSD
10287,Girls Only Kicks,Families,FSD
10287,Girls Only Kicks,SEND Local Offer,FSD
10289,L.E.A.P. Virtual Baby Chattertime (0-15 Months Old),Families,FSD
10289,L.E.A.P. Virtual Baby Chattertime (0-15 Months Old),SEND Local Offer,FSD
10293,Centre 70,Families,FSD
10293,Centre 70,SEND Local Offer,FSD
10293,Centre 70,Young People,FSD
10310,Lambeth Autism Group Parent And Carers Coffee Morning,Families,FSD
10310,Lambeth Autism Group Parent And Carers Coffee Morning,SEND Local Offer,FSD
10311,National Deaf Children Society Grants,Families,FSD
10311,National Deaf Children Society Grants,SEND Local Offer,FSD
10314,Kids,Families,FSD
10314,Kids,SEND Local Offer,FSD
10322,Baby Singalong At Maytree Children's Centre,Families,FSD
10322,Baby Singalong At Maytree Children's Centre,SEND Local Offer,FSD
10327,Lambeth Tigers,Families,FSD
10327,Lambeth Tigers,SEND Local Offer,FSD
10327,Lambeth Tigers,Young People,FSD
10330,Lifelong Family Links After School Club,Families,FSD
10330,Lifelong Family Links After School Club,SEND Local Offer,FSD
10331,Lifelong Family Links Weekend Club,Families,FSD
10331,Lifelong Family Links Weekend Club,SEND Local Offer,FSD
10332,Lifelong Family Links Lifeskills And Employability Training,Families,FSD
10332,Lifelong Family Links Lifeskills And Employability Training,SEND Local Offer,FSD
10333,Sunnyhill Primary School - After School Club,Families,FSD
10333,Sunnyhill Primary School - After School Club,SEND Local Offer,FSD
10338,Being A Parent,Families,FSD
10338,Being A Parent,Young People,FSD
10339,"Strengthening Families, Strengthening Communities (SFSC)",Families,FSD
10339,"Strengthening Families, Strengthening Communities (SFSC)",Young People,FSD
10340,Circle Of Security Parenting,Families,FSD
10341,Building Relationships For Stronger Families,Families,FSD
10341,Building Relationships For Stronger Families,Young People,FSD
10342,Baby Steps,Families,FSD
10343,Brook - Healthy Lives For Young People,Families,FSD
10343,Brook - Healthy Lives For Young People,SEND Local Offer,FSD
10343,Brook - Healthy Lives For Young People,Young People,FSD
10344,Lambeth College - Brixton Centre,Young People,FSD
10345,Lambeth College - Clapham Centre,Young People,FSD
10359,"Domestic Abuse, Violence Against Women And Girls",Families,FSD
10359,"Domestic Abuse, Violence Against Women And Girls",SEND Local Offer,FSD
10359,"Domestic Abuse, Violence Against Women And Girls",Young People,FSD
10364,Speech And Language Therapy,Families,FSD
10364,Speech And Language Therapy,SEND Local Offer,FSD
10379,Lambeth Young Carers Service & Adult Carers Service,Families,FSD
10379,Lambeth Young Carers Service & Adult Carers Service,SEND Local Offer,FSD
10379,Lambeth Young Carers Service & Adult Carers Service,Young People,FSD
10396,M.I.N.D.,Families,FSD
10396,M.I.N.D.,SEND Local Offer,FSD
10396,M.I.N.D.,Young People,FSD
10397,Lambeth Larder Emergency Food Support,Families,FSD
10397,Lambeth Larder Emergency Food Support,SEND Local Offer,FSD
10397,Lambeth Larder Emergency Food Support,Young People,FSD
10403,Youth Employment Uk Free Skills & Careers Activities,Young People,FSD
10440,The Dream Project,Young People,FSD
10444,C.E.F. Lyncx Virtual Support,Families,FSD
10444,C.E.F. Lyncx Virtual Support,SEND Local Offer,FSD
10444,C.E.F. Lyncx Virtual Support,Young People,FSD
10481,S.L.A.M.- 24hr Mental Health Crisis Line,Families,FSD
10481,S.L.A.M.- 24hr Mental Health Crisis Line,SEND Local Offer,FSD
10481,S.L.A.M.- 24hr Mental Health Crisis Line,Young People,FSD
10496,Chathealth,SEND Local Offer,FSD
10496,Chathealth,Young People,FSD
10497,Parentline,Families,FSD
10497,Parentline,SEND Local Offer,FSD
10505,Little Village,Families,FSD
10505,Little Village,SEND Local Offer,FSD
10539,BASE Dance Studios,Families,FSD
10539,BASE Dance Studios,SEND Local Offer,FSD
10539,BASE Dance Studios,Young People,FSD
10553,Cool It Art Online,Families,FSD
10553,Cool It Art Online,SEND Local Offer,FSD
10553,Cool It Art Online,Young People,FSD
10564,South London Botanical Institute,Families,FSD
10564,South London Botanical Institute,SEND Local Offer,FSD
10564,South London Botanical Institute,Young People,FSD
10567,Lerato Community Initiative,Families,FSD
10567,Lerato Community Initiative,SEND Local Offer,FSD
10567,Lerato Community Initiative,Young People,FSD
10572,Brook Young People - Come Correct,Young People,FSD
