System_Ref,FIS_Provider_Name,Level_1_Description,Upload_to_FIDy
1415,Tate South Lambeth Library,SEND Local Offer,FSD
1415,Tate South Lambeth Library,Young People,FSD
1420,Streatham Library,Families,FSD
1420,Streatham Library,SEND Local Offer,FSD
1420,Streatham Library,Young People,FSD
1445,Waterloo Library,Families,FSD
1445,Waterloo Library,SEND Local Offer,FSD
1445,Waterloo Library,Young People,FSD
1450,West Norwood Library,Families,FSD
1450,West Norwood Library,SEND Local Offer,FSD
1450,West Norwood Library,Young People,FSD
1491,Slade Gardens Play And Stay,Families,FSD
1491,Slade Gardens Play And Stay,SEND Local Offer,FSD
1514,Kennington Park Centre Stay And Play,Families,FSD
1514,Kennington Park Centre Stay And Play,SEND Local Offer,FSD
1517,Vauxhall Primary School - Breakfast Club,Families,FSD
1517,Vauxhall Primary School - Breakfast Club,SEND Local Offer,FSD
1519,Kennington Park Centre Adventure Playground,Families,FSD
1519,Kennington Park Centre Adventure Playground,SEND Local Offer,FSD
1519,Kennington Park Centre Adventure Playground,Young People,FSD
1525,Streatham Vale Stay And Play,Families,FSD
1525,Streatham Vale Stay And Play,SEND Local Offer,FSD
1612,Friday Youth Club @ Slade Gardens Adventure Playground,SEND Local Offer,FSD
1612,Friday Youth Club @ Slade Gardens Adventure Playground,Young People,FSD
1616,Streatham Adventure Playground,Families,FSD
1616,Streatham Adventure Playground,SEND Local Offer,FSD
1616,Streatham Adventure Playground,Young People,FSD
1657,Flaxman Sports Centre,Families,FSD
1657,Flaxman Sports Centre,SEND Local Offer,FSD
1657,Flaxman Sports Centre,Young People,FSD
1658,Clapham Leisure Centre,Families,FSD
1658,Clapham Leisure Centre,SEND Local Offer,FSD
1658,Clapham Leisure Centre,Young People,FSD
1678,Streatham Ice And Leisure Centre,Families,FSD
1678,Streatham Ice And Leisure Centre,SEND Local Offer,FSD
1678,Streatham Ice And Leisure Centre,Young People,FSD
1706,Clapham Manor - Breakfast Club,Families,ECD
1706,Clapham Manor - Breakfast Club,SEND Local Offer,ECD
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Families,FSD
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,SEND Local Offer,FSD
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,Families,FSD
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,SEND Local Offer,FSD
1930,Rough Sleepers Space,Families,FSD
