System_Ref,Provider_Name,Area_Covered_Description
5528,Chocolate Films Workshops,North Lambeth
5528,Chocolate Films Workshops,Norwood
5528,Chocolate Films Workshops,Streatham
5678,Grove Adventure Playground,Brixton/Tulse Hill
5836,Oakden Kids Club,North Lambeth
6019,Ashmole Primary School Edc - Extended Day Care,North Lambeth
6022,Bonneville Primary School - Reading Café,Clapham/Brixton Hill
6023,Henry Cavendish Primary School -  Breakfast Club (Balham),Clapham/Brixton Hill
6024,Sudbourne Primary School - Breakfast Club,Clapham/Brixton Hill
6025,Heathbrook Primary School - Breakfast Club,Clapham/Brixton Hill
6026,Heathbrook Primary School - After School Club,Clapham/Brixton Hill
6029,Sunnyhill Primary School - Breakfast Club,Streatham
6032,Kid's City At Woodmansterne Primary School - Breakfast Club,Streatham
6033,Immanuel And St Andrew C Of E Primary School - After School Club,Streatham
6041,Allen Edwards Primary School - Breakfast Club,North Lambeth
6043,Crown Lane Primary School - Breakfast Club,Norwood
6077,Rape Crisis South London,Brixton/Stockwell
6077,Rape Crisis South London,Brixton/Tulse Hill
6077,Rape Crisis South London,Clapham/Brixton Hill
6077,Rape Crisis South London,North Lambeth
6077,Rape Crisis South London,Norwood
6077,Rape Crisis South London,Streatham
6116,Upper Norwood Library,Norwood
6126,Corpus Christi Catholic Primary School - After School Club,Clapham/Brixton Hill
6128,Clapham Manor Primary School - After School Club,Clapham/Brixton Hill
6129,Streatham Wells Primary School - After School Club,Streatham
6130,Stockwell Primary School - Breakfast Club,Brixton/Stockwell
6132,Richard Atkins Primary School - Breakfast Club,Clapham/Brixton Hill
6135,Loughborough Primary School - Holiday Provision,Brixton/Tulse Hill
6149,Christ Church Primary Sw9 - Breakfast Club,Brixton/Stockwell
6151,Wyvil Primary School - Breakfast Club,North Lambeth
6197,Fenstanton Infant School - Breakfast Club,Brixton/Tulse Hill
6198,Fenstanton Infant School - After School Club,Brixton/Tulse Hill
6578,Oakden Kids Club,North Lambeth
6580,Corpus Christi Catholic Primary School - Breakfast Club,Clapham/Brixton Hill
6583,Archbishop Sumner School - Breakfast Club,North Lambeth
6584,Jessop Primary School - Breakfast Club,Brixton/Stockwell
6585,Jessop Primary School - After School Club,Brixton/Stockwell
6586,Holy Trinity Church Of England Primary School - Breakfast Club,Brixton/Tulse Hill
6588,Kings Avenue Primary School - After School Club,Clapham/Brixton Hill
6589,Kingswood Primary School - Breakfast Club,Norwood
6590,Kingswood Primary School - After School Club,Norwood
6602,St Andrew's Roman Catholic Primary - Sunrise Breakfast Club,Streatham
6603,Telferscot Primary School - Breakfast Club,Clapham/Brixton Hill
6606,Henry Cavendish Primary School  - Breakfast Club (Streatham),Streatham
6607,St Saviour's School - Breakfast Club,Brixton/Stockwell
6704,Aurora House - Centre For Children With Autism,North Lambeth
6712,Oasis Adventure Playground,North Lambeth
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),Brixton/Tulse Hill
6961,Streatham Leisure Centre Holiday Play Scheme,Streatham
6962,YPM Childcare Provider at Granton,Streatham
7075,YPM Childcare Provider at Granton,Streatham
7120,Young People Matter At The Old  Laundry - After School Club,Brixton/Stockwell
7171,Brixton Recreation Centre,Brixton/Tulse Hill
7200,Spiral Skills Cic,Brixton/Tulse Hill
7240,Brixton Recreation Centre Play Scheme,Brixton/Tulse Hill
7242,Super Camps at Dunraven School,Streatham
7244,Walnut Tree Walk Primary School - Breakfast Club,North Lambeth
7245,Walnut Tree Walk Primary School - After School Club,North Lambeth
7260,Fit For Sport At Paxton Primary School - Breakfast Club,Norwood
7261,Fit For Sport At Paxton Primary School - After School Club,Norwood
7263,Glenbrook Primary School - Breakfast Club,Clapham/Brixton Hill
7264,Glenbrook Primary School - After School Club,Clapham/Brixton Hill
7268,St John's (Angell Town) Church Of England P S - Breakfast Club,Brixton/Tulse Hill
7272,St Andrew's Church Of England Primary School - Breakfast Club,Brixton/Stockwell
7279,Pacca Out Of School Project,Brixton/Stockwell
7280,Sally Kids Care,Clapham/Brixton Hill
7281,Sally Kids Care,Clapham/Brixton Hill
7282,Sally Kids Care,Clapham/Brixton Hill
7286,La Retraite Rc Girls School - After School Club,Clapham/Brixton Hill
7295,Cassandra Learning Centre (CLC),Streatham
7327,Saint Gabriel's College - Breakfast Club,Brixton/Stockwell
7333,South Central Youth Ltd,Brixton/Stockwell
7333,South Central Youth Ltd,Brixton/Tulse Hill
7333,South Central Youth Ltd,Clapham/Brixton Hill
7333,South Central Youth Ltd,North Lambeth
7333,South Central Youth Ltd,Norwood
7333,South Central Youth Ltd,Streatham
7337,Kings College Hospital School,Norwood
7427,Oasis Nature Garden,North Lambeth
7438,Coin Street  Access Fitness - Young People 12 - 21 Year Olds,North Lambeth
7553,Florence Nightingale Museum,North Lambeth
7588,Rainbow Trust Children's Charity,Brixton/Stockwell
7588,Rainbow Trust Children's Charity,Brixton/Tulse Hill
7588,Rainbow Trust Children's Charity,Clapham/Brixton Hill
7588,Rainbow Trust Children's Charity,North Lambeth
7588,Rainbow Trust Children's Charity,Norwood
7588,Rainbow Trust Children's Charity,Streatham
7589,The Communication Trust,Brixton/Stockwell
7589,The Communication Trust,Brixton/Tulse Hill
7589,The Communication Trust,Clapham/Brixton Hill
7589,The Communication Trust,North Lambeth
7589,The Communication Trust,Norwood
7589,The Communication Trust,Streatham
7620,National Deaf Children Society Helpline,Brixton/Stockwell
7620,National Deaf Children Society Helpline,Brixton/Tulse Hill
7620,National Deaf Children Society Helpline,Clapham/Brixton Hill
7620,National Deaf Children Society Helpline,North Lambeth
7620,National Deaf Children Society Helpline,Norwood
7620,National Deaf Children Society Helpline,Streatham
7624,Kids London S.E.N.D. Mediation Service,Brixton/Stockwell
7624,Kids London S.E.N.D. Mediation Service,Brixton/Tulse Hill
7624,Kids London S.E.N.D. Mediation Service,Clapham/Brixton Hill
7624,Kids London S.E.N.D. Mediation Service,North Lambeth
7624,Kids London S.E.N.D. Mediation Service,Norwood
7624,Kids London S.E.N.D. Mediation Service,Streatham
7625,Music Therapy Lambeth,Brixton/Stockwell
7625,Music Therapy Lambeth,Brixton/Tulse Hill
7625,Music Therapy Lambeth,Clapham/Brixton Hill
7625,Music Therapy Lambeth,North Lambeth
7625,Music Therapy Lambeth,Norwood
7625,Music Therapy Lambeth,Streatham
7656,Disability Register And Liberty Card,Brixton/Stockwell
7656,Disability Register And Liberty Card,Brixton/Tulse Hill
7656,Disability Register And Liberty Card,Clapham/Brixton Hill
7656,Disability Register And Liberty Card,North Lambeth
7656,Disability Register And Liberty Card,Norwood
7656,Disability Register And Liberty Card,Streatham
7672,Ambitious About Autism,Brixton/Stockwell
7672,Ambitious About Autism,Brixton/Tulse Hill
7672,Ambitious About Autism,Clapham/Brixton Hill
7672,Ambitious About Autism,North Lambeth
7672,Ambitious About Autism,Norwood
7672,Ambitious About Autism,Streatham
7688,Lifelong Family Links,Brixton/Stockwell
7688,Lifelong Family Links,Brixton/Tulse Hill
7688,Lifelong Family Links,Clapham/Brixton Hill
7688,Lifelong Family Links,North Lambeth
7688,Lifelong Family Links,Norwood
7688,Lifelong Family Links,Streatham
7691,Allen Edwards Speech And Language Resource Base,North Lambeth
7698,Archbishop Sumner Speech And Language Resource Base,North Lambeth
7699,Crown Lane Resource Base,Norwood
7700,Dunraven Slcn Resource Base,Streatham
7702,Lark Hall Centre For Autism,Brixton/Stockwell
7703,City Heights Asd Resource Base,Brixton/Tulse Hill
7704,The Elmgreen School Hearing Impairment Resource Base,Norwood
7705,London Nautical Asd Resource Base,North Lambeth
7727,Kids' City At St Leonards,Streatham
8872,Brixton People's Kitchen,North Lambeth
8989,Waterloo Community Counselling,Brixton/Stockwell
8989,Waterloo Community Counselling,Brixton/Tulse Hill
8989,Waterloo Community Counselling,Clapham/Brixton Hill
8989,Waterloo Community Counselling,North Lambeth
8989,Waterloo Community Counselling,Norwood
8989,Waterloo Community Counselling,Streatham
8994,Young Minds,Brixton/Stockwell
8994,Young Minds,Brixton/Tulse Hill
8994,Young Minds,Clapham/Brixton Hill
8994,Young Minds,North Lambeth
8994,Young Minds,Norwood
8994,Young Minds,Streatham
9335,The Cochlear Implanted Children's Support Group (CICS Group),Brixton/Stockwell
9335,The Cochlear Implanted Children's Support Group (CICS Group),Brixton/Tulse Hill
9335,The Cochlear Implanted Children's Support Group (CICS Group),Clapham/Brixton Hill
9335,The Cochlear Implanted Children's Support Group (CICS Group),North Lambeth
9335,The Cochlear Implanted Children's Support Group (CICS Group),Norwood
9341,Hill Mead Primary School - Resource Base,North Lambeth
9393,The Norwood School Breakfast Club,Norwood
9395,St Saviour's Church Of England Primary School After School Club,Brixton/Stockwell
9470,Tree Tops Breakfast And After School Club At Kings Avenue School London,Clapham/Brixton Hill
9476,St Stephen's Church Of England Primary School - Breakfast Club,North Lambeth
9477,St Mark's Church Of England Primary School - Breakfast Club,North Lambeth
9480,St John The Divine C Of E Primary School - Breakfast Club,North Lambeth
9514,Autism Voice,Clapham/Brixton Hill
9568,The Gaia Centre,Brixton/Stockwell
9568,The Gaia Centre,Brixton/Tulse Hill
9568,The Gaia Centre,Clapham/Brixton Hill
9568,The Gaia Centre,North Lambeth
9568,The Gaia Centre,Norwood
9568,The Gaia Centre,Streatham
9569,Support For Young People At The Gaia Centre,Brixton/Stockwell
9569,Support For Young People At The Gaia Centre,Brixton/Tulse Hill
9569,Support For Young People At The Gaia Centre,Clapham/Brixton Hill
9569,Support For Young People At The Gaia Centre,North Lambeth
9569,Support For Young People At The Gaia Centre,Norwood
9569,Support For Young People At The Gaia Centre,Streatham
9843,Kooth,Brixton/Stockwell
9843,Kooth,Brixton/Tulse Hill
9843,Kooth,Clapham/Brixton Hill
9843,Kooth,North Lambeth
9843,Kooth,Norwood
9843,Kooth,Streatham
9925,Tree Tops Breakfast Club At Kings Avenue School London,Clapham/Brixton Hill
9934,Navigate: Emotional Support For Parents With Scope,Brixton/Stockwell
9934,Navigate: Emotional Support For Parents With Scope,Brixton/Tulse Hill
9934,Navigate: Emotional Support For Parents With Scope,Clapham/Brixton Hill
9934,Navigate: Emotional Support For Parents With Scope,North Lambeth
9934,Navigate: Emotional Support For Parents With Scope,Streatham
9940,L.E.A.P. Yoga With Claudia,Brixton/Stockwell
9940,L.E.A.P. Yoga With Claudia,Brixton/Tulse Hill
9943,Breastfeeding Peer Support,Brixton/Stockwell
9943,Breastfeeding Peer Support,Brixton/Tulse Hill
9943,Breastfeeding Peer Support,Clapham/Brixton Hill
9943,Breastfeeding Peer Support,North Lambeth
9943,Breastfeeding Peer Support,Norwood
9943,Breastfeeding Peer Support,Streatham
9946,Parent And Infant Relationship Service (PAIRS) Together Time,Brixton/Stockwell
