System_Ref,FIS_Provider_Name,Day,Start_Time,End_Time
805,Turney Primary And Secondary Special School,Thursday,9:10 AM,3:30 PM
805,Turney Primary And Secondary Special School,Friday,9:10 AM,3:30 PM
874,The Livity School,Monday,8:55 AM,3:30 PM
874,The Livity School,Tuesday,8:55 AM,3:30 PM
874,The Livity School,Wednesday,8:55 AM,3:30 PM
874,The Livity School,Thursday,8:55 AM,3:30 PM
874,The Livity School,Friday,9:00 AM,3:30 PM
875,Allen Edwards Primary School - After School Club,Monday,3:30 PM,5:45 PM
875,Allen Edwards Primary School - After School Club,Tuesday,3:30 PM,5:45 PM
875,Allen Edwards Primary School - After School Club,Wednesday,3:30 PM,5:45 PM
875,Allen Edwards Primary School - After School Club,Thursday,3:30 PM,5:45 PM
875,Allen Edwards Primary School - After School Club,Friday,3:30 PM,5:30 PM
877,Cherubins Day Nursery Ltd,Monday,3:00 PM,6:30 PM
877,Cherubins Day Nursery Ltd,Tuesday,3:00 PM,6:30 PM
877,Cherubins Day Nursery Ltd,Wednesday,3:00 PM,6:30 PM
877,Cherubins Day Nursery Ltd,Thursday,3:00 PM,6:30 PM
877,Cherubins Day Nursery Ltd,Friday,3:00 PM,6:30 PM
882,Holmewood Nursery School - After School Club,Monday,3:30 PM,6:00 PM
882,Holmewood Nursery School - After School Club,Tuesday,3:30 PM,6:00 PM
882,Holmewood Nursery School - After School Club,Wednesday,3:30 PM,6:00 PM
882,Holmewood Nursery School - After School Club,Thursday,3:30 PM,6:00 PM
882,Holmewood Nursery School - After School Club,Friday,3:30 PM,6:00 PM
883,Loughborough Primary School - After School Club,Monday,3:30 PM,5:45 PM
883,Loughborough Primary School - After School Club,Tuesday,3:30 PM,5:45 PM
883,Loughborough Primary School - After School Club,Wednesday,3:30 PM,5:45 PM
883,Loughborough Primary School - After School Club,Thursday,3:30 PM,5:45 PM
883,Loughborough Primary School - After School Club,Friday,3:30 PM,5:45 PM
885,Julians Primary School - Breakfast Club,Monday,7:45 AM,9:00 AM
885,Julians Primary School - Breakfast Club,Tuesday,7:45 AM,9:00 AM
885,Julians Primary School - Breakfast Club,Wednesday,7:45 AM,9:00 AM
885,Julians Primary School - Breakfast Club,Thursday,7:45 AM,9:00 AM
885,Julians Primary School - Breakfast Club,Friday,7:45 AM,9:00 AM
890,Telferscot Primary School - After School Club,Monday,3:30 PM,6:00 PM
890,Telferscot Primary School - After School Club,Tuesday,3:30 PM,6:00 PM
890,Telferscot Primary School - After School Club,Wednesday,3:30 PM,6:00 PM
890,Telferscot Primary School - After School Club,Thursday,3:30 PM,6:00 PM
890,Telferscot Primary School - After School Club,Friday,3:30 PM,6:00 PM
893,Christ Church Primary Sw9 - After School Club,Monday,3:30 PM,6:00 PM
893,Christ Church Primary Sw9 - After School Club,Tuesday,3:30 PM,6:00 PM
893,Christ Church Primary Sw9 - After School Club,Wednesday,3:30 PM,6:00 PM
893,Christ Church Primary Sw9 - After School Club,Thursday,3:30 PM,6:00 PM
893,Christ Church Primary Sw9 - After School Club,Friday,3:30 PM,6:00 PM
894,Durand Academy - After School Club,Monday,3:30 PM,6:00 PM
894,Durand Academy - After School Club,Tuesday,3:30 PM,6:00 PM
894,Durand Academy - After School Club,Wednesday,3:30 PM,6:00 PM
894,Durand Academy - After School Club,Thursday,3:30 PM,6:00 PM
894,Durand Academy - After School Club,Friday,3:30 PM,6:00 PM
897,Hitherfield Primary School - After School Club,Monday,3:15 PM,6:00 PM
897,Hitherfield Primary School - After School Club,Tuesday,3:15 PM,6:00 PM
897,Hitherfield Primary School - After School Club,Wednesday,3:15 PM,6:00 PM
897,Hitherfield Primary School - After School Club,Thursday,3:15 PM,6:00 PM
897,Hitherfield Primary School - After School Club,Friday,3:15 PM,6:00 PM
901,Rosendale Primary School After School Club,Monday,3:00 PM,5:00 PM
901,Rosendale Primary School After School Club,Tuesday,3:00 PM,5:00 PM
901,Rosendale Primary School After School Club,Wednesday,3:00 PM,5:00 PM
901,Rosendale Primary School After School Club,Thursday,3:00 PM,5:00 PM
901,Rosendale Primary School After School Club,Friday,3:00 PM,5:00 PM
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,Monday,3:30 PM,6:00 PM
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,Tuesday,3:30 PM,6:00 PM
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,Wednesday,3:30 PM,6:00 PM
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,Thursday,3:30 PM,6:00 PM
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,Friday,3:30 PM,6:00 PM
903,Stockwell Primary School - After School Club,Monday,3:30 PM,5:45 PM
903,Stockwell Primary School - After School Club,Tuesday,3:30 PM,5:45 PM
903,Stockwell Primary School - After School Club,Wednesday,3:30 PM,5:45 PM
903,Stockwell Primary School - After School Club,Thursday,3:30 PM,5:45 PM
903,Stockwell Primary School - After School Club,Friday,3:30 PM,5:45 PM
908,Vauxhall City Farm,Tuesday,10:30 AM,3:30 PM
908,Vauxhall City Farm,Wednesday,10:30 AM,3:30 PM
908,Vauxhall City Farm,Thursday,10:30 AM,3:30 PM
908,Vauxhall City Farm,Friday,10:30 AM,3:30 PM
908,Vauxhall City Farm,Saturday,10:30 AM,3:30 PM
908,Vauxhall City Farm,Sunday,10:30 AM,3:30 PM
919,Macaulay Church Of England Primary School - Breakfast Club,Monday,8:00 AM,8:40 AM
919,Macaulay Church Of England Primary School - Breakfast Club,Tuesday,8:00 AM,8:40 AM
919,Macaulay Church Of England Primary School - Breakfast Club,Wednesday,8:00 AM,8:40 AM
919,Macaulay Church Of England Primary School - Breakfast Club,Thursday,8:00 AM,8:40 AM
919,Macaulay Church Of England Primary School - Breakfast Club,Friday,8:00 AM,8:40 AM
924,Hurley Pre-School,Monday,7:45 AM,9:00 AM
924,Hurley Pre-School,Tuesday,7:45 AM,9:00 AM
924,Hurley Pre-School,Wednesday,7:45 AM,9:00 AM
924,Hurley Pre-School,Thursday,7:45 AM,9:00 AM
924,Hurley Pre-School,Friday,7:45 AM,9:00 AM
925,Hurley Pre-School,Monday,4:00 PM,5:00 PM
925,Hurley Pre-School,Tuesday,4:00 PM,5:00 PM
925,Hurley Pre-School,Wednesday,4:00 PM,5:00 PM
925,Hurley Pre-School,Thursday,4:00 PM,5:00 PM
925,Hurley Pre-School,Friday,4:00 PM,5:00 PM
941,Magic Roundabout Nurseries Ltd,Monday,7:30 AM,7:00 PM
941,Magic Roundabout Nurseries Ltd,Tuesday,7:30 AM,7:00 PM
941,Magic Roundabout Nurseries Ltd,Wednesday,7:30 AM,7:00 PM
941,Magic Roundabout Nurseries Ltd,Thursday,7:30 AM,7:00 PM
941,Magic Roundabout Nurseries Ltd,Friday,7:30 AM,7:00 PM
942,Loughborough Primary School - Breakfast Club,Monday,7:45 AM,8:50 AM
942,Loughborough Primary School - Breakfast Club,Tuesday,7:45 AM,8:50 AM
942,Loughborough Primary School - Breakfast Club,Wednesday,7:45 AM,8:50 AM
942,Loughborough Primary School - Breakfast Club,Thursday,7:45 AM,8:50 AM
942,Loughborough Primary School - Breakfast Club,Friday,7:45 AM,8:50 AM
952,Whippersnappers Inclusive After School Club,Monday,3:15 PM,6:15 PM
952,Whippersnappers Inclusive After School Club,Tuesday,3:15 PM,6:15 PM
952,Whippersnappers Inclusive After School Club,Wednesday,3:15 PM,6:15 PM
952,Whippersnappers Inclusive After School Club,Thursday,3:15 PM,6:15 PM
952,Whippersnappers Inclusive After School Club,Friday,3:15 PM,6:15 PM
961,Streatham Wells Primary School - Breakfast Club,Monday,8:00 AM,9:00 AM
961,Streatham Wells Primary School - Breakfast Club,Tuesday,8:00 AM,9:00 AM
961,Streatham Wells Primary School - Breakfast Club,Wednesday,8:00 AM,9:00 AM
961,Streatham Wells Primary School - Breakfast Club,Thursday,8:00 AM,9:00 AM
961,Streatham Wells Primary School - Breakfast Club,Friday,8:00 AM,9:00 AM
972,Hitherfield Primary School - Breakfast Club,Monday,7:45 AM,9:00 AM
972,Hitherfield Primary School - Breakfast Club,Tuesday,7:45 AM,9:00 AM
972,Hitherfield Primary School - Breakfast Club,Wednesday,7:45 AM,9:00 AM
972,Hitherfield Primary School - Breakfast Club,Thursday,7:45 AM,9:00 AM
972,Hitherfield Primary School - Breakfast Club,Friday,7:45 AM,9:00 AM
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,Monday,7:30 AM,8:45 AM
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,Tuesday,7:30 AM,8:45 AM
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,Wednesday,7:30 AM,8:45 AM
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,Thursday,7:30 AM,8:45 AM
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,Friday,7:30 AM,8:45 AM
975,Oasis Academy Johanna - Breakfast Club,Monday,8:00 AM,9:00 AM
975,Oasis Academy Johanna - Breakfast Club,Tuesday,8:00 AM,9:00 AM
975,Oasis Academy Johanna - Breakfast Club,Wednesday,8:00 AM,9:00 AM
975,Oasis Academy Johanna - Breakfast Club,Thursday,8:00 AM,9:00 AM
975,Oasis Academy Johanna - Breakfast Club,Friday,8:00 AM,9:00 AM
976,Oasis Academy Johanna - After School Club,Monday,3:30 PM,6:00 PM
976,Oasis Academy Johanna - After School Club,Wednesday,3:30 PM,6:00 PM
976,Oasis Academy Johanna - After School Club,Friday,3:30 PM,6:00 PM
976,Oasis Academy Johanna - After School Club,Tuesday,3:30 PM,6:00 PM
976,Oasis Academy Johanna - After School Club,Thursday,3:30 PM,6:00 PM
988,Rosendale Primary School Breakfast Club,Monday,7:45 AM,8:55 AM
988,Rosendale Primary School Breakfast Club,Tuesday,7:45 AM,8:55 AM
988,Rosendale Primary School Breakfast Club,Wednesday,7:45 AM,8:55 AM
988,Rosendale Primary School Breakfast Club,Thursday,7:45 AM,8:55 AM
