System_Ref,Name,Provider_Type_Description,First_Line,Second_Line,Third_Line,Locality,Town,Post_Code,Easting,Northing,Upload_to_FIDy
6043,Crown Lane Primary School - Breakfast Club,Breakfast Club,Crown Lane Primary School,Crown Lane,,,London,SW16 3HX,531573,171076,ECD
7699,Crown Lane Resource Base,Resource Base,Crown Lane Primary School,Crown Lane,,,London,SW16 3HX,531500,171000,FSD
894,Durand Academy - After School Club,After School Club,Van Gogh Primary School (Hackford Site),Hackford Road,,,London,SW9 0RD,530946,176760,ECD
885,Julians Primary School - Breakfast Club,Breakfast Club,Julian's Primary School West Norwood,16 Wolfington Road,,,London,SE27 0JF,531795,171953,ECD
6151,Wyvil Primary School - Breakfast Club,Breakfast Club,Wyvil Primary School,Wyvil Road,,,London,SW8 2TJ,530264,177481,ECD
2312,Wyvil Language Centre,Resource Base,Wyvil Primary School,Wyvil Road,,,London,SW8 2TJ,530200,177400,FSD
7691,Allen Edwards Speech And Language Resource Base,Resource Base,Allen Edwards Primary School,Studley Road,,,London,SW4 6RP,530100,176500,FSD
6041,Allen Edwards Primary School - Breakfast Club,Breakfast Club,Allen Edwards Primary School,Studley Road,,,London,SW4 6RP,530145,176488,ECD
875,Allen Edwards Primary School - After School Club,After School Club,Allen Edwards Primary School,Studley Road,,,London,SW4 6RP,530145,176488,ECD
6583,Archbishop Sumner School - Breakfast Club,Breakfast Club,Archbishop Sumners C Of E Primary School,Reedworth Street,,,London,SE11 4PH,531300,178600,ECD
7698,Archbishop Sumner Speech And Language Resource Base,Resource Base,Archbishop Sumners Church Of England Primary School,Reedworth Street,,,London,SE11 4PH,531312,178654,FSD
6149,Christ Church Primary Sw9 - Breakfast Club,Breakfast Club,Christ Church Primary School,Cancell Road,,,London,SW9 6HN,531482,176949,ECD
893,Christ Church Primary Sw9 - After School Club,After School Club,Christ Church Primary School,Cancell Road,,,London,SW9 6HN,531482,176949,ECD
11297,Christ Church (Streatham) Church Of England Primary School - Early Birds Breakfast Club,Breakfast Club,Christ Church of E Primary School,Cotherstone Road,,,London,SW2 3NF,530643,173424,FSD
6580,Corpus Christi Catholic Primary School - Breakfast Club,Breakfast Club,Corpus Christi Roman Catholic Primary School,Trent Road,,,London,SW2 5BL,530706,174698,FSD
6126,Corpus Christi Catholic Primary School - After School Club,After School Club,Corpus Christi Roman Catholic Primary School,Trent Road,,,London,SW2 5BL,530706,174698,ECD
6019,Ashmole Primary School Edc - Extended Day Care,After School Club,Ashmole Primary School,Ashmole Street,,,London,SW8 1NT,530994,177580,ECD
3076,Bonneville Primary School - Carry On Café,After School Club,Bonneville Primary School,Bonneville Gardens,,,London,SW4 9LB,529358,174325,ECD
6022,Bonneville Primary School - Reading Café,Breakfast Club,Bonneville Primary School,Bonneville Gardens,,,London,SW4 9LB,529358,174325,ECD
1706,Clapham Manor - Breakfast Club,Breakfast Club,Clapham Manor Children's Centre,16 Belmont Close,,,London,SW4 6AT,529512,175691,ECD
6128,Clapham Manor Primary School - After School Club,After School Club,Clapham Manor Primary School,Belmont Road,,,London,SW4 0BZ,529473,175582,ECD
6198,Fenstanton Infant School - After School Club,After School Club,Fenstanton Primary School,Abbots Park,,,London,SW2 3PW,531197,173160,ECD
6197,Fenstanton Infant School - Breakfast Club,Breakfast Club,Fenstanton Primary School,Abbots Park,,,London,SW2 3PW,531197,173160,ECD
7263,Glenbrook Primary School - Breakfast Club,Breakfast Club,Glenbrook Primary School,Clarence Avenue,,,London,SW4 8LD,529881,174323,FSD
7264,Glenbrook Primary School - After School Club,After School Club,Glenbrook Primary School,Clarence Avenue,,,London,SW4 8LD,529881,174323,FSD
6026,Heathbrook Primary School - After School Club,After School Club,Heathbrook Primary School,St Rule Street,,,London,SW8 3EH,529067,176207,ECD
6025,Heathbrook Primary School - Breakfast Club,Breakfast Club,Heathbrook Primary School,St Rule Street,,,London,SW8 3EH,529067,176207,ECD
6023,Henry Cavendish Primary School -  Breakfast Club (Balham),Breakfast Club,Henry Cavendish Primary School Balham,Hydethorpe Road,,,London,SW12 0JA,529164,173386,ECD
6606,Henry Cavendish Primary School  - Breakfast Club (Streatham),Breakfast Club,Henry Cavendish Primary School Streatham,Dingley Lane,,,London,SW16 1AU,529940,172557,ECD
2665,Hill Mead Primary School - Breakfast Club,Breakfast Club,Hillmead Primary School,Hillmead Drive,,,London,SW9 8UE,531580,175364,ECD
9341,Hill Mead Primary School - Resource Base,Resource Base,Hillmead Primary School,Moorland Road,,,London,SW9 8UE,531580,175364,FSD
972,Hitherfield Primary School - Breakfast Club,Breakfast Club,Hitherfield Primary School,Leigham Vale,,,London,SW16 2JQ,531070,172524,ECD
897,Hitherfield Primary School - After School Club,After School Club,Hitherfield Primary School,Leigham Vale,,,London,SW16 2JQ,531070,172524,ECD
6585,Jessop Primary School - After School Club,After School Club,Jessop School,Lowden Road,,,London,SE24 0BJ,532000,175160,ECD
