System_Ref,FIS_Provider_Name,Upload_to_FIDy,Level_3_Description
2312,Wyvil Language Centre,FSD,Specialist Resource Base
2312,Wyvil Language Centre,FSD,Primary Resource Bases
2321,Home-Start Lambeth,FSD,Parenting support in the early years
2321,Home-Start Lambeth,FSD,Services to support around domestic abuse
2321,Home-Start Lambeth,FSD,Support for young parents
2321,Home-Start Lambeth,FSD,Parenting support
2619,Alford House Youth Club,FSD,Youth clubs
2619,Alford House Youth Club,FSD,"Music, dance and drama"
2619,Alford House Youth Club,FSD,Sports
2665,Hill Mead Primary School - Breakfast Club,ECD,Breakfast and after school clubs
2701,Special Educational Needs (SEND),FSD,Parenting support – SEND
2701,Special Educational Needs (SEND),FSD,Parenting support
2701,Special Educational Needs (SEND),FSD,"Lambeth Information, Advice and Support (IASS)"
2704,S.Y.C.T. Seniors Club,FSD,Youth clubs
2704,S.Y.C.T. Seniors Club,FSD,Holiday activities
2704,S.Y.C.T. Seniors Club,FSD,Sports
2704,S.Y.C.T. Seniors Club,FSD,Creative Arts and Multimedia
2821,Oasis Play After School Environmental Play,FSD,Parks and playgrounds
2900,Brixton Advice Centre,FSD,Money matters (benefits and debt)
2913,Brockwell Park Community Greenhouses,FSD,Holiday activities
2913,Brockwell Park Community Greenhouses,FSD,Parks and playgrounds
2913,Brockwell Park Community Greenhouses,FSD,Parent and toddler groups
2913,Brockwell Park Community Greenhouses,FSD,Volunteering and work experience
3013,St Stephen's Youth Work,FSD,Youth clubs
3048,Lifelong Family Links Playschemes,FSD,Holiday activities
3076,Bonneville Primary School - Carry On Café,ECD,Breakfast and after school clubs
3093,Every Pound Counts,FSD,Money matters (benefits and debt)
3095,Park Campus Academy (Secondary Alternative Provision),ECD,Secondary schools
3151,Code 7 Ltd,FSD,Mentoring
3151,Code 7 Ltd,FSD,Courses for young adults
3151,Code 7 Ltd,FSD,Creative Arts and Multimedia
3156,Ferndale Community Sports Centre,FSD,Leisure Centres
3210,Scope,FSD,
3444,Lambeth Somali Community Association,FSD,
3444,Lambeth Somali Community Association,FSD,Money matters (benefits and debt)
3591,Online Homework Club,FSD,
3660,Kidscape,FSD,Young carers
3660,Kidscape,FSD,Mentoring
3660,Kidscape,FSD,Mental health and well being
3660,Kidscape,FSD,Physical health
3711,Lambeth Autism Group (National Autistic Society Lambeth Branch),FSD,Parenting support – SEND
3711,Lambeth Autism Group (National Autistic Society Lambeth Branch),FSD,Parenting support
3755,Lambeth Adoption And Fostering,FSD,Early help
3843,Wheels For Wellbeing,FSD,Sports
3940,Crystal Palace Community Development Trust,FSD,Family learning
3940,Crystal Palace Community Development Trust,FSD,Courses for adults
3940,Crystal Palace Community Development Trust,FSD,Courses for young adults
3955,Kingswood Estate Community Shop,FSD,Money matters (benefits and debt)
4063,Welcare - Lambeth Office,FSD,Parenting support for primary school children
4063,Welcare - Lambeth Office,FSD,Parenting support
4063,Welcare - Lambeth Office,FSD,Early help
4147,National Autistic Society,FSD,Parenting support – SEND
4147,National Autistic Society,FSD,Parenting support
4265,Childline,FSD,Sexual health
4265,Childline,FSD,"Sexual abuse, exploitation and FGM"
4265,Childline,FSD,Substance misuse
4265,Childline,FSD,Mental health and well being
4265,Childline,FSD,Physical health
4286,Lambeth Participation And Engagement Service (PES),FSD,Parenting support
4335,Disability Advice Service Lambeth (DASL),FSD,
4335,Disability Advice Service Lambeth (DASL),FSD,Money matters (benefits and debt)
4335,Disability Advice Service Lambeth (DASL),FSD,Complex health needs
4335,Disability Advice Service Lambeth (DASL),FSD,Hearing and visual impairment
4499,St Leonard's Church Of England Primary School - Breakfast Club,ECD,Breakfast and after school clubs
4516,Norwood Community Group Services,FSD,"Music, dance and drama"
4516,Norwood Community Group Services,FSD,Sports
4516,Norwood Community Group Services,FSD,Courses for adults
4516,Norwood Community Group Services,FSD,Creative Arts and Multimedia
4516,Norwood Community Group Services,FSD,Get support working with a disability
4536,Kennington Park Academy (Primary Alternative Provision),ECD,Special schools
4684,Roots & Shoots,FSD,
4684,Roots & Shoots,FSD,Learning English
4684,Roots & Shoots,FSD,Courses for young adults
4684,Roots & Shoots,FSD,Get support working with a disability
4684,Roots & Shoots,FSD,Post 19 Specialist Provision
4696,South Central Youth Ltd - Youth Projects,FSD,Services to support around domestic abuse
4696,South Central Youth Ltd - Youth Projects,FSD,Support for young parents
4696,South Central Youth Ltd - Youth Projects,FSD,"Sexual abuse, exploitation and FGM"
4696,South Central Youth Ltd - Youth Projects,FSD,Early help
4696,South Central Youth Ltd - Youth Projects,FSD,Young carers
4696,South Central Youth Ltd - Youth Projects,FSD,Mentoring
4817,St Stephen's Church Of England Primary School - After School Club,ECD,Breakfast and after school clubs
4842,Kids' City At Sudbourne Primary School - After School Club,FSD,Breakfast and after school clubs
4851,Alford House Mixed Youth Club,FSD,Youth clubs
4851,Alford House Mixed Youth Club,FSD,"Music, dance and drama"
4851,Alford House Mixed Youth Club,FSD,Sports
4852,Alford House Girls Youth Club,FSD,Youth clubs
4852,Alford House Girls Youth Club,FSD,"Music, dance and drama"
4852,Alford House Girls Youth Club,FSD,Sports
4980,Morley College,FSD,Sixth forms and colleges
5067,Bigkid Foundation,FSD,Youth clubs
5067,Bigkid Foundation,FSD,Sports
5067,Bigkid Foundation,FSD,Mentoring
5114,S.Y.C.T. Streatham Wednesday Group,FSD,Youth clubs
5114,S.Y.C.T. Streatham Wednesday Group,FSD,"Music, dance and drama"
5114,S.Y.C.T. Streatham Wednesday Group,FSD,Sports
5325,Coin Street Neighbourhood Centre,FSD,Children's Centres and One O'Clock clubs
5391,Butterfly After School Club,ECD,Breakfast and after school clubs
5471,Springfield Community Flat Breakfast Club,ECD,Breakfast and after school clubs
5528,Chocolate Films Workshops,FSD,Creative Arts and Multimedia
5678,Grove Adventure Playground,FSD,Adventure play
5771,Sports City At Richard Atkins Primary School - Breakfast Club,FSD,Breakfast and after school clubs
5836,Oakden Kids Club,ECD,Breakfast and after school clubs
5869,All Sewn Up Training Project,FSD,Creative Arts and Multimedia
5975,Saturday Community Days,FSD,Parks and playgrounds
5982,Prime Childcare Services,FSD,Out of school tuition
6019,Ashmole Primary School Edc - Extended Day Care,ECD,Breakfast and after school clubs
6022,Bonneville Primary School - Reading Café,ECD,Breakfast and after school clubs
6023,Henry Cavendish Primary School -  Breakfast Club (Balham),ECD,Breakfast and after school clubs
6024,Sudbourne Primary School - Breakfast Club,ECD,Breakfast and after school clubs
6025,Heathbrook Primary School - Breakfast Club,ECD,Breakfast and after school clubs
6026,Heathbrook Primary School - After School Club,ECD,Breakfast and after school clubs
6029,Sunnyhill Primary School - Breakfast Club,ECD,Breakfast and after school clubs
6032,Kid's City At Woodmansterne Primary School - Breakfast Club,FSD,Breakfast and after school clubs
6033,Immanuel And St Andrew C Of E Primary School - After School Club,ECD,Breakfast and after school clubs
6041,Allen Edwards Primary School - Breakfast Club,ECD,Breakfast and after school clubs
6043,Crown Lane Primary School - Breakfast Club,ECD,Breakfast and after school clubs
6077,Rape Crisis South London,FSD,
6077,Rape Crisis South London,FSD,"Sexual abuse, exploitation and FGM"
6116,Upper Norwood Library,FSD,Libraries
6126,Corpus Christi Catholic Primary School - After School Club,ECD,Breakfast and after school clubs
6128,Clapham Manor Primary School - After School Club,ECD,Breakfast and after school clubs
6129,Streatham Wells Primary School - After School Club,ECD,Breakfast and after school clubs
6130,Stockwell Primary School - Breakfast Club,ECD,Breakfast and after school clubs
